Threads: [{'140255810307904': 0, '140255801911040': 1, '140255810303744': 2}]
['STORE', '0xb82308', -1, 0, '121']
['STORE', '0xb822f0', '0x7f8fcc001d88', 0, '123']
['STORE', '0xb822f8', '0x7f8fcc001d70', 0, '124']
['STORE', '0xb82304', '0x7f8fcc001d78', 0, '125']
['STORE', '0xb82306', '0x7f8fcc001d84', 0, '126']
['STORE', '0xb82305', '0x7f8fcc001d86', 0, '127']
['STORE', '0xb82310', -1, 0, '140']
['STORE', '0xb82318', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82320', -1, 0, '140']
['STORE', '0xb82328', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82330', -1, 0, '140']
['STORE', '0xb82338', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82340', -1, 0, '140']
['STORE', '0xb82348', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82350', -1, 0, '140']
['STORE', '0xb82358', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82360', -1, 0, '140']
['STORE', '0xb82368', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82370', -1, 0, '140']
['STORE', '0xb82378', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82380', -1, 0, '140']
['STORE', '0xb82388', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82390', -1, 0, '140']
['STORE', '0xb82398', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823a0', -1, 0, '140']
['STORE', '0xb823a8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823b0', -1, 0, '140']
['STORE', '0xb823b8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823c0', -1, 0, '140']
['STORE', '0xb823c8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823d0', -1, 0, '140']
['STORE', '0xb823d8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823e0', -1, 0, '140']
['STORE', '0xb823e8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb823f0', -1, 0, '140']
['STORE', '0xb823f8', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82400', -1, 0, '140']
['STORE', '0xb82408', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82410', -1, 0, '140']
['STORE', '0xb82418', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82420', -1, 0, '140']
['STORE', '0xb82428', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82430', -1, 0, '140']
['STORE', '0xb82438', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82440', -1, 0, '140']
['STORE', '0xb82448', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82450', -1, 0, '140']
['STORE', '0xb82458', '0x7f8fcc001f60', 0, '141']
['STORE', '0xb82460', -1, 0, '140']
