Threads: [{'139951501756224': 0, '139951493359360': 1, '139951501752064': 2}]
['STORE', '0x928308', -1, 0, '121']
['STORE', '0x928308', -1, 0, '123']
['STORE', '0x9282f0', -1, 0, '124']
['STORE', '0x9282f8', -1, 0, '125']
['STORE', '0x928304', -1, 0, '126']
['STORE', '0x928306', -1, 0, '127']
['STORE', '0x928310', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928320', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928330', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928340', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928350', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928360', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928370', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928380', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928390', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283a0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283b0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283c0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283d0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283e0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9283f0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928400', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928410', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928420', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928430', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928440', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928450', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928460', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928470', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928480', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928490', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9284a0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9284b0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9284c0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9284d0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x9284e0', -1, 0, '140']
['STORE', '0x9284e0', -1, 0, '141']
['STORE', '0x928300', -1, 0, '160']
['STORE', '0x928300', -1, 0, '161']
['STORE', '0x928310', -1, 0, '507']
['STORE', '0x928310', -1, 0, '508']
['STORE', '0x928318', -1, 0, '510']
['FLUSH', '0x9282f0', -1, 0, '513']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928338', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928318', -1, 0, '555']
['STORE', '0x928318', -1, 0, '556']
['STORE', '0x928310', -1, 0, '557']
['FLUSH', '0x928310', -1, 0, '559']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928348', -1, 0, '517']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928330', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928358', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928340', -1, 0, '538']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928318', -1, 0, '555']
['STORE', '0x928318', -1, 0, '556']
['STORE', '0x928310', -1, 0, '557']
['FLUSH', '0x928310', -1, 0, '559']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928368', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928340', -1, 0, '538']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928320', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928378', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928340', -1, 0, '538']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928320', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928388', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928340', -1, 0, '538']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928320', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x928398', -1, 0, '517']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928380', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x9283a8', -1, 0, '517']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928380', -1, 0, '538']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['STORE', '0x928370', -1, 0, '526']
['STORE', '0x928398', -1, 0, '527']
['FLUSH', '0x928340', -1, 0, '538']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x928330', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x9283b8', -1, 0, '517']
['STORE', '0x928370', -1, 0, '544']
['STORE', '0x928388', -1, 0, '545']
['STORE', '0x928380', -1, 0, '546']
['FLUSH', '0x9283a0', -1, 0, '549']
['STORE', '0x928306', -1, 0, '564']
['STORE', '0x9283c8', -1, 1, '517']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '544']
['STORE', '0x928388', -1, 1, '545']
['STORE', '0x928380', -1, 1, '546']
['FLUSH', '0x928390', -1, 1, '549']
['STORE', '0x928306', -1, 1, '564']
['STORE', '0x9283d8', -1, 2, '517']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['FLUSH', '0x9283c0', -1, 2, '538']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['FLUSH', '0x928380', -1, 2, '538']
['STORE', '0x928370', -1, 2, '544']
['STORE', '0x928388', -1, 2, '545']
['STORE', '0x928380', -1, 2, '546']
['FLUSH', '0x928370', -1, 2, '549']
['STORE', '0x928306', -1, 2, '564']
['STORE', '0x9283e8', -1, 1, '517']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['FLUSH', '0x9283c0', -1, 1, '538']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['FLUSH', '0x928380', -1, 1, '538']
['STORE', '0x928370', -1, 1, '526']
['STORE', '0x928398', -1, 1, '527']
['STORE', '0x928370', -1, 1, '544']
['STORE', '0x928388', -1, 1, '545']
['STORE', '0x928380', -1, 1, '546']
['FLUSH', '0x928360', -1, 1, '549']
['STORE', '0x928306', -1, 1, '564']
['STORE', '0x9283f8', -1, 2, '517']
['STORE', '0x928370', -1, 2, '526']
['STORE', '0x928398', -1, 2, '527']
['STORE', '0x928370', -1, 2, '526']
