Threads: [{'140686698853120': 0, '140686629267200': 1, '140686637659904': 2}]
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 1, 'clht_gc_thread_init_50']
['STORE', '0x7fec003c15a8', '0x7fec005414e8', 1, 'clht_gc_thread_init_51']
['STORE', '0x7fec003c1518', '0x7fec003c1518', 1, 'clht_gc_thread_init_56']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 2, 'clht_gc_thread_init_50']
['STORE', '0x7fec003c15a8', '0x7fec005414e8', 2, 'clht_gc_thread_init_51']
['STORE', '0x7fec003c1518', '0x7fec003c1518', 2, 'clht_gc_thread_init_56']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 1, 'clht_put_417']
['STORE', '0x7fec003c15a0', '0x7fec003c15a0', 1, 'clht_hash_352']
['STORE', '0x7fec003c1598', '0x7fec003c1598', 1, 'clht_put_419']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 2, 'clht_put_417']
['STORE', '0x7fec003c15a0', '0x7fec003c15a0', 2, 'clht_hash_352']
['STORE', '0x7fec003c1598', '0x7fec003c1598', 2, 'clht_put_419']
['STORE', '0x7fec004c4508', '0x7fec004c4488', 1, 'clht_put_448']
['STORE', '0x7fec004c4508', '0x7fec004c4508', 1, 'clht_put_453']
['STORE', '0x7fec004c4510', '0x7fec004c4488', 1, 'clht_put_448']
['STORE', '0x7fec004c4518', '0x7fec004c4488', 1, 'clht_put_448']
['STORE', '0x7fec004c4520', -1, 1, 'clht_put_483']
['FLUSH', '0x7fec004c4520', -1, 1, 'clht_put_488']
['STORE', '0x7fec004c4500', -1, 1, 'clht_put_492']
['STORE', '0x7fec004c44c8', '0x7fec004c4488', 2, 'clht_put_448']
['STORE', '0x7fec004c44c8', '0x7fec004c4508', 2, 'clht_put_453']
['STORE', '0x7fec004c44d0', '0x7fec004c4488', 2, 'clht_put_448']
['STORE', '0x7fec004c44d8', '0x7fec004c4488', 2, 'clht_put_448']
['STORE', '0x7fec004c44e0', -1, 2, 'clht_put_483']
['FLUSH', '0x7fec004c44e0', -1, 2, 'clht_put_488']
['STORE', '0x7fec004c44c0', -1, 2, 'clht_put_492']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 1, 'ht_resize_pes_700']
['STORE', '0x7fec003c15f0', -1, 1, 'ht_resize_pes_716']
['STORE', '0x7fec003c1590', '0x7fec003c15f0', 1, 'ht_resize_pes_718']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 2, 'ht_resize_pes_700']
['STORE', '0x7fec003c14d0', '0x7fec003c14d0', 2, 'clht_gc_collect_cond_154']
['STORE', '0x7fec003c1520', '0x7fec003c1520', 2, 'clht_gc_collect_cond_156']
['STORE', '0x7fec003c15a8', '0x7fec005414e8', 2, 'clht_gc_collect_cond_156']
['STORE', '0x7fec005414d8', -1, 1, 'clht_hashtable_create_306']
['STORE', '0x7fec005414d8', '0x7fec003c1598', 1, 'clht_hashtable_create_307']
['STORE', '0x7fec00576480', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576488', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576490', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576498', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005764c0', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec005764c8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005764d0', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005764d8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576500', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576508', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576510', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576518', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576540', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576548', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576550', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576558', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576580', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec00576588', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576590', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576598', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005765c0', -1, 1, 'clht_hashtable_create_318']
['STORE', '0x7fec005765c8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005765d0', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec005765d8', -1, 1, 'clht_hashtable_create_321']
['STORE', '0x7fec00576600', -1, 1, 'clht_hashtable_create_318']
