[2, 101, '0x7f70003c14d0', '0x7f70003c14d0', '1', 'clht_gc_thread_init_50']
[3, 101, '0x7f70003c14d0', '0x7f70003c14d0', '2', 'clht_gc_thread_init_50']
[4, 101, '0x7f70003c15a8', '0x7f70005414e8', '1', 'clht_gc_thread_init_51']
[5, 102, '0x7f70003c15a8', '-1', '1', 'clht_gc_thread_init_51_x']
[6, 101, '0x7f70003c1518', '0x7f70003c1518', '1', 'clht_gc_thread_init_56']
[7, 101, '0x7f70003c15a8', '0x7f70005414e8', '2', 'clht_gc_thread_init_51']
[8, 101, '0x7f70003c1518', '0x7f70003c1518', '2', 'clht_gc_thread_init_56']
[9, 101, '0x7f70003c14d0', '0x7f70003c14d0', '1', 'clht_put_417']
[10, 101, '0x7f70003c15a0', '0x7f70003c15a0', '1', 'clht_hash_352']
[11, 101, '0x7f70003c1598', '0x7f70003c1598', '1', 'clht_put_419']
[12, 101, '0x7f70004c4508', '0x7f70004c4488', '1', 'clht_put_448']
[13, 101, '0x7f70004c4508', '0x7f70004c4508', '1', 'clht_put_453']
[14, 101, '0x7f70004c4510', '0x7f70004c4488', '1', 'clht_put_448']
[15, 101, '0x7f70004c4518', '0x7f70004c4488', '1', 'clht_put_448']
[16, 101, '0x7f70004c4520', '-1', '1', 'clht_put_483']
[17, 102, '0x7f70004c4520', '-1', '1', 'clht_put_488']
[18, 101, '0x7f70004c4500', '-1', '1', 'clht_put_492']
[19, 101, '0x7f70003c14d0', '0x7f70003c14d0', '2', 'clht_put_417']
[20, 101, '0x7f70003c15a0', '0x7f70003c15a0', '2', 'clht_hash_352']
[21, 101, '0x7f70003c1598', '0x7f70003c1598', '2', 'clht_put_419']
[22, 101, '0x7f70004c44c8', '0x7f70004c4488', '2', 'clht_put_448']
[23, 101, '0x7f70004c44c8', '0x7f70004c4508', '2', 'clht_put_453']
[24, 101, '0x7f70004c44d0', '0x7f70004c4488', '2', 'clht_put_448']
