BenchmarkName,#DURA,#MPB,#MPA,Repair time in Step 1,Repair time in Step 2,#Calls in step 1,#Calls in step 2,#Lock,#sfence(),#clflushopt(),LoC,Trace Length
motivatingExample,2,0,0,0.0248,0.0191,0,1,0,1,1,28,17
list,2,0,0,0.0758,0.0545,0,1,0,2,2,31,806
dqueue,9,21,21,76.361,12.3216,86,3,3,14,9,202,2411
queue_1,3,1,1,0.6985,0.1179,7,2,2,4,3,58,555
heap,11,14,16,1.7405,0.3427,53,4,3,10,11,210,1182
queue,7,7,7,2.4518,0.4272,28,4,4,8,7,119,1520
list_1,6,4,5,19.0307,2.6959,18,2,2,6,6,286,2676
hash,4,2,2,10.1449,6.3826,13,3,3,5,4,261,2851
priorityQueue,6,6,6,2.1377,1.2094,38,3,3,9,6,190,7939
doublyList,9,19,21,38.6267,20.8575,78,3,3,12,9,201,4811
skipLists,10,12,10,12.9792,0.8207,43,2,2,9,10,235,9378
graph,9,5,5,17.6056,38.5049,33,3,3,10,9,176,5594
set,4,1,1,0.8134,0.2941,9,2,2,5,4,169,4430
stack_1,2,1,1,0.4818,0.6198,9,2,2,3,2,174,2918
array,1,0,0,0.0082,0.0201,0,1,0,1,1,287,67
stack,2,0,0,0.0447,0.0346,0,1,0,2,2,111,456
