BenchmarkName,#DURA,#MPB,#MPA,Repair time in Step 1,Repair time in Step 2,#Calls in step 1,#Calls in step 2,#Lock,#sfence(),#clflushopt()
doublyList,14,8,29,24.7305,66.9747,65,17,22,23,14
hash,10,4,12,7.4026,12.4011,36,13,14,13,10
motivatingExample,2,0,1,0.0158,0.0443,0,2,2,3,2
array,3,1,3,0.1656,0.1117,10,3,3,5,3
priorityQueue,10,3,13,4.3408,34.8769,24,10,14,13,10
graph,29,17,136,145.8918,1383.3326,177,40,45,40,29
queue_2,5,3,5,3.1896,4.1629,21,5,6,10,5
stack_1,4,1,3,0.3364,0.6043,9,4,5,7,4
heap,25,20,178,88.4571,920.0896,177,43,45,42,25
list,5,1,3,7.7992,11.7807,9,4,5,7,5
list_1,14,9,32,17.6967,41.2429,73,16,22,23,14
queue,14,5,41,35.8729,79.0937,45,23,23,21,14
stack,4,2,2,3.0563,0.4633,12,3,4,6,4
set,10,5,21,77.1858,802.4565,41,11,12,19,10
queue_1,5,3,3,3.4492,2.1096,15,4,6,9,5
dqueue,14,6,17,8.7261,10.3608,51,12,17,17,14
P-CLHT,25,10,20,4.0052,3.2244,100,13,15,23,24
CCEH,16,7,17,88.9764,4.2464,1081,12,15,12,15
Clevel_hashing,15,8,17,186.6055,26.9135,48,16,19,17,15
memcached,11,8,6,145.0246,663.851,76,7,11,11,11
fastFair,6,0,1,3.364,5.7649,0,2,2,1,6
