Threads: [{'140026565829376': 0, '140026547529472': 1, '140026555922176': 2}]
['STORE', '0x7f5a79653088', -1, 0, 'clht_hashtable_create_269']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 0, 'clht_hashtable_create_270']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 0, 'clht_hashtable_create_277']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 0, 'clht_hashtable_create_282']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 0, 'clht_hashtable_create_286']
['STORE', '0x7f5a79653080', -1, 0, 'clht_hashtable_create_290']
['STORE', '0x7f5a79653090', -1, 0, 'clht_hashtable_create_291']
['STORE', '0x7f5a79653098', -1, 0, 'clht_hashtable_create_292']
['STORE', '0x7f5a796530c0', -1, 0, 'clht_hashtable_create_293']
['STORE', '0x7f5a796530d0', -1, 0, 'clht_hashtable_create_294']
['STORE', '0x7f5a796530c8', -1, 0, 'clht_hashtable_create_295']
['STORE', '0x7f5a796530d8', -1, 0, 'clht_hashtable_create_296']
['STORE', '0x7f5a796530dc', -1, 0, 'clht_hashtable_create_297']
['STORE', '0x7f5a796530dc', '0x7f5a796530dc', 0, 'clht_hashtable_create_298']
['STORE', '0x7f5a796530e0', -1, 0, 'clht_hashtable_create_302']
['STORE', '0x7f5a796530e4', -1, 0, 'clht_hashtable_create_303']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 0, 'clht_create_243']
['FLUSH', '0x7f5a7965da00', -1, 0, '243']
['FLUSH', '0x7f5a79653080', -1, 0, '244']
['FLUSH', '0x7f5a79653000', -1, 0, '245']
['STORE', '0x7f5a79653098', '0x7f5a79653098', 1, 'clht_gc_thread_init_51']
['STORE', '0x7f5a79653098', '0x7f5a79653098', 2, 'clht_gc_thread_init_51']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 2, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 2, 'clht_put_381']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 1, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 1, 'clht_put_381']
['FLUSH', '0x7f5a7965da60', -1, 1, '449']
['FENCE', 0, -1, 1, '179']
['FLUSH', '0x7f5a7965dba0', -1, 2, '449']
['FENCE', 0, -1, 2, '179']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 1, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 1, 'clht_put_381']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 2, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 2, 'clht_put_381']
['FLUSH', '0x7f5a7965daa0', -1, 1, '449']
['FENCE', 0, -1, 1, '179']
['FLUSH', '0x7f5a7965dbe0', -1, 2, '449']
['FENCE', 0, -1, 2, '179']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 2, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 2, 'clht_put_381']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 1, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 1, 'clht_put_381']
['FLUSH', '0x7f5a7965dae0', -1, 1, '449']
['FLUSH', '0x7f5a7965dc20', -1, 2, '449']
['FENCE', 0, -1, 1, '179']
['FENCE', 0, -1, 2, '179']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 2, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 2, 'clht_put_381']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 1, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 1, 'clht_put_381']
['FLUSH', '0x7f5a7965dc60', -1, 2, '449']
['FLUSH', '0x7f5a7965db20', -1, 1, '449']
['FENCE', 0, -1, 2, '179']
['FENCE', 0, -1, 1, '179']
['STORE', '0x7f5a79653090', '0x7f5a79653090', 2, 'clht_hash_318']
['STORE', '0x7f5a79653088', '0x7f5a79653088', 2, 'clht_put_381']
