Threads: [{'139713063221056': 0, '139713063216896': 1, '139713054824192': 2}]
['STORE', '0x9a0370', -1, 0, '66']
['STORE', '0x9a0378', '0x9a0370', 0, '67']
['STORE', '0x9a0380', '0x9a0378', 0, '68']
['STORE', '0x9a0460', -1, 0, '66']
['STORE', '0x9a0468', '0x9a0370', 0, '67']
['STORE', '0x9a0470', '0x9a0378', 0, '68']
['STORE', '0x9a0378', -1, 0, '86']
['STORE', '0x9a0470', '0x9a0378', 0, '87']
['STORE', '0x9a0520', -1, 0, '66']
['STORE', '0x9a0528', '0x9a0370', 0, '67']
['STORE', '0x9a0530', '0x9a0378', 0, '68']
['STORE', '0x9a0468', -1, 0, '86']
['STORE', '0x9a0530', '0x9a0378', 0, '87']
['STORE', '0x9a0470', '0x9a0378', 1, '150']
['STORE', '0x9a0530', '0x9a0378', 2, '150']
['STORE', '0x9a0370', -1, 1, '66']
['STORE', '0x9a0378', '0x9a0370', 1, '67']
['STORE', '0x9a0380', '0x9a0378', 1, '68']
['STORE', '0x9a0528', -1, 1, '86']
['STORE', '0x9a0380', '0x9a0378', 1, '87']
['STORE', '0x9a0460', -1, 2, '66']
['STORE', '0x9a0468', '0x9a0370', 2, '67']
['STORE', '0x9a0470', '0x9a0378', 2, '68']
['STORE', '0x9a0378', -1, 2, '86']
['STORE', '0x9a0470', '0x9a0378', 2, '87']
['STORE', '0x7f1174005390', -1, 1, '66']
['STORE', '0x7f1174005398', '0x9a0370', 1, '67']
['STORE', '0x7f11740053a0', '0x9a0378', 1, '68']
['STORE', '0x9a0530', -1, 1, '102']
['STORE', '0x7f1174005398', '0x9a0530', 1, '103']
['STORE', '0x7f116c001280', -1, 2, '66']
['STORE', '0x7f116c001288', '0x9a0370', 2, '67']
['STORE', '0x7f116c001290', '0x9a0378', 2, '68']
['STORE', '0x7f11740053a0', -1, 2, '102']
['STORE', '0x7f116c001288', '0x9a0530', 2, '103']
['STORE', '0x9a0378', '0x9a0470', 2, '126']
['STORE', '0x9a0528', '0x9a0470', 1, '126']
