Threads: [{'140699723519808': 0, '140699723515648': 1, '140699715122944': 2}]
['STORE', '0x2275370', -1, 0, '66']
['STORE', '0x2275378', '0x2275370', 0, '67']
['STORE', '0x2275380', '0x2275378', 0, '68']
['STORE', '0x2275460', -1, 0, '66']
['STORE', '0x2275468', '0x2275370', 0, '67']
['STORE', '0x2275470', '0x2275378', 0, '68']
['STORE', '0x2275470', -1, 0, '102']
['STORE', '0x2275378', '0x2275470', 0, '103']
['STORE', '0x2275520', -1, 0, '66']
['STORE', '0x2275528', '0x2275370', 0, '67']
['STORE', '0x2275530', '0x2275378', 0, '68']
['STORE', '0x2275530', -1, 0, '102']
['STORE', '0x2275468', '0x2275470', 0, '103']
['STORE', '0x2275470', '0x2275378', 1, '126']
['STORE', '0x2275370', -1, 1, '66']
['STORE', '0x2275378', '0x2275370', 1, '67']
['STORE', '0x2275380', '0x2275378', 1, '68']
['STORE', '0x2275380', -1, 1, '102']
['STORE', '0x2275528', '0x2275470', 1, '103']
['STORE', '0x2275530', '0x2275378', 2, '126']
['STORE', '0x7ff7300058d0', -1, 1, '66']
['STORE', '0x7ff7300058d8', '0x2275370', 1, '67']
['STORE', '0x7ff7300058e0', '0x2275378', 1, '68']
['STORE', '0x7ff7300058d8', -1, 1, '86']
['STORE', '0x2275530', '0x7ff7300058d8', 1, '87']
['STORE', '0x2275528', '0x2275380', 1, '150']
['STORE', '0x2275460', -1, 2, '66']
['STORE', '0x2275468', '0x2275370', 2, '67']
['STORE', '0x2275470', '0x2275378', 2, '68']
['STORE', '0x2275470', -1, 2, '102']
['STORE', '0x2275528', '0x2275470', 2, '103']
['STORE', '0x7ff728000d40', -1, 2, '66']
['STORE', '0x7ff728000d48', '0x2275370', 2, '67']
['STORE', '0x7ff728000d50', '0x2275378', 2, '68']
['STORE', '0x7ff728000d48', -1, 2, '86']
['STORE', '0x7ff7300058e0', '0x7ff7300058d8', 2, '87']
['STORE', '0x2275528', '0x2275380', 2, '150']
