Threads: [{'140212299196224': 0, '140212299192064': 1, '140212290799360': 2}]
['STORE', '0x17d5900', -1, 0, '40']
['STORE', '0x17d5908', -1, 0, '41']
['STORE', '0x17d59b0', -1, 0, '45']
['STORE', '0x17d59e0', -1, 0, '45']
['STORE', '0x17d5a10', -1, 0, '45']
['STORE', '0x17d5a40', -1, 0, '45']
['STORE', '0x7f85b0003cb0', -1, 1, '73']
['STORE', '0x7f85b0003cb8', '0x7f85b0003cb0', 1, '74']
['STORE', '0x7f85b0003cb8', -1, 1, '84']
['STORE', '0x17d59b0', '0x7f85b0003cb8', 1, '85']
['STORE', '0x7f85b0003ec0', -1, 1, '73']
['STORE', '0x7f85b0003ec8', '0x7f85b0003cb0', 1, '74']
['STORE', '0x7f85b0003ec8', -1, 1, '93']
['STORE', '0x17d59e0', '0x7f85b0003ec8', 1, '94']
['STORE', '0x7f85a8000d40', -1, 2, '73']
['STORE', '0x7f85a8000d48', '0x7f85b0003cb0', 2, '74']
['STORE', '0x7f85a8000d48', -1, 2, '84']
['STORE', '0x17d59e0', '0x7f85b0003cb8', 2, '85']
['STORE', '0x7f85a8000da0', -1, 2, '73']
['STORE', '0x7f85a8000da8', '0x7f85b0003cb0', 2, '74']
['STORE', '0x7f85a8000da8', -1, 2, '93']
['STORE', '0x17d5a10', '0x7f85b0003ec8', 2, '94']
['STORE', '0x7f85a8000e00', -1, 2, '73']
['STORE', '0x7f85a8000e08', '0x7f85b0003cb0', 2, '74']
['STORE', '0x7f85a8000e08', -1, 2, '84']
['STORE', '0x17d5a10', '0x7f85b0003cb8', 2, '85']
['STORE', '0x7f85a8000e60', -1, 2, '73']
['STORE', '0x7f85a8000e68', '0x7f85b0003cb0', 2, '74']
['STORE', '0x7f85a8000e68', -1, 2, '93']
['STORE', '0x17d5a40', '0x7f85b0003ec8', 2, '94']
['STORE', '0x7f85b0004040', -1, 1, '73']
['STORE', '0x7f85b0004048', '0x7f85b0003cb0', 1, '74']
['STORE', '0x7f85b0004048', -1, 1, '84']
['STORE', '0x17d59b0', '0x7f85b0003cb8', 1, '85']
['STORE', '0x7f85b00040a0', -1, 1, '73']
['STORE', '0x7f85b00040a8', '0x7f85b0003cb0', 1, '74']
['STORE', '0x7f85b00040a8', -1, 1, '93']
['STORE', '0x17d5a10', '0x7f85b0003ec8', 1, '94']
['STORE', '0x17d5de0', -1, 0, '73']
['STORE', '0x17d5de8', '0x7f85b0003cb0', 0, '74']
['STORE', '0x17d5de8', -1, 0, '84']
['STORE', '0x17d5a40', '0x7f85b0003cb8', 0, '85']
['STORE', '0x17d5e40', -1, 0, '73']
['STORE', '0x17d5e48', '0x7f85b0003cb0', 0, '74']
['STORE', '0x17d5e48', -1, 0, '93']
['STORE', '0x17d59b0', '0x7f85b0003ec8', 0, '94']
['STORE', '0x17d5ea0', -1, 0, '73']
['STORE', '0x17d5ea8', '0x7f85b0003cb0', 0, '74']
['STORE', '0x17d5ea8', -1, 0, '84']
['STORE', '0x17d59e0', '0x7f85b0003cb8', 0, '85']
['STORE', '0x17d5f00', -1, 0, '73']
['STORE', '0x17d5f08', '0x7f85b0003cb0', 0, '74']
['STORE', '0x17d5f08', -1, 0, '93']
['STORE', '0x17d5a40', '0x7f85b0003ec8', 0, '94']
