Threads: [{'140640469751616': 0, '140640469747456': 1, '140640461354752': 2}]
['STORE', '0x1a63cd0', -1, 0, '93']
['STORE', '0x1a63cd8', '0x1a63cd0', 0, '94']
['STORE', '0x1a63cdc', '0x1a63cd8', 0, '95']
['STORE', '0x1a63cdc', '0x1a63cd8', 1, '118']
['STORE', '0x1a63d50', '0x1a63cd8', 1, '120']
['STORE', '0x1a63cdc', '0x1a63cd8', 2, '118']
['STORE', '0x1a63d54', '0x1a63cd8', 2, '120']
['STORE', '0x1a63d54', -1, 2, '125']
['STORE', '0x1a63d50', '0x1a63d54', 2, '126']
['STORE', '0x1a63cdc', '0x1a63cd8', 1, '118']
['STORE', '0x1a63d58', '0x1a63cd8', 1, '120']
['STORE', '0x1a63d58', -1, 1, '125']
['STORE', '0x1a63d50', '0x1a63d54', 1, '126']
['STORE', '0x1a63cdc', '0x1a63cd8', 2, '118']
['STORE', '0x1a63d5c', '0x1a63cd8', 2, '120']
['STORE', '0x1a63cdc', '0x1a63cd8', 0, '118']
['STORE', '0x1a63d60', '0x1a63cd8', 0, '120']
['STORE', '0x1a63cdc', '0x1a63cd8', 0, '118']
['STORE', '0x1a63d64', '0x1a63cd8', 0, '120']
['STORE', '0x1a63d64', -1, 0, '125']
['STORE', '0x1a63d58', '0x1a63d54', 0, '126']
['STORE', '0x1a63d58', -1, 0, '125']
['STORE', '0x1a63d50', '0x1a63d54', 0, '126']
