Threads: [{'140435566012224': 0, '140435557615360': 1, '140435566008064': 2}]
['STORE', '0x19a4e40', -1, 0, '76']
['STORE', '0x19a4e44', '0x19a4e40', 0, '77']
['STORE', '0x19a4e48', '0x19a4e44', 0, '78']
['STORE', '0x19a4e48', '0x19a4e44', 0, '96']
['STORE', '0x19a5370', -1, 0, '76']
['STORE', '0x19a5374', '0x19a4e40', 0, '77']
['STORE', '0x19a5378', '0x19a4e44', 0, '78']
['STORE', '0x19a5378', '0x19a4e44', 0, '96']
['STORE', '0x19a5400', -1, 0, '76']
['STORE', '0x19a5404', '0x19a4e40', 0, '77']
['STORE', '0x19a5408', '0x19a4e44', 0, '78']
['STORE', '0x19a5408', '0x19a4e44', 0, '104']
['STORE', '0x19a4e48', '0x19a5408', 0, '105']
['STORE', '0x19a5370', -1, 1, '76']
['STORE', '0x19a5374', '0x19a4e40', 1, '77']
['STORE', '0x19a5378', '0x19a4e44', 1, '78']
['STORE', '0x19a5378', '0x19a4e44', 1, '96']
['STORE', '0x19a4e40', -1, 2, '76']
['STORE', '0x19a4e44', '0x19a4e40', 2, '77']
['STORE', '0x19a4e48', '0x19a4e44', 2, '78']
['STORE', '0x19a4e48', '0x19a4e44', 2, '104']
['STORE', '0x19a5378', '0x19a5408', 2, '105']
