Threads: [{'140241770518272': 0, '140241762125568': 1}]
['STORE', '0x7f8c8c002f50', -1, 0, '21']
['STORE', '0x7f8c8c002f58', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000d40', -1, 1, '21']
['STORE', '0x7f8c84000d48', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c002f58', -1, 1, '29']
['STORE', '0x7f8c8c003420', -1, 0, '21']
['STORE', '0x7f8c8c003428', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000d48', -1, 0, '29']
['STORE', '0x7f8c84000dd0', -1, 1, '21']
['STORE', '0x7f8c84000dd8', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c003428', -1, 1, '29']
['STORE', '0x7f8c84000e30', -1, 1, '21']
['STORE', '0x7f8c84000e38', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c84000dd8', -1, 1, '29']
['STORE', '0x7f8c8c003480', -1, 0, '21']
['STORE', '0x7f8c8c003488', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000e38', -1, 0, '29']
['STORE', '0x7f8c84000e90', -1, 1, '21']
['STORE', '0x7f8c84000e98', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c003488', -1, 1, '29']
['STORE', '0x7f8c8c0034e0', -1, 0, '21']
['STORE', '0x7f8c8c0034e8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000e98', -1, 0, '29']
['STORE', '0x7f8c84000ef0', -1, 1, '21']
['STORE', '0x7f8c84000ef8', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c0034e8', -1, 1, '29']
['STORE', '0x7f8c8c003540', -1, 0, '21']
['STORE', '0x7f8c8c003548', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000ef8', -1, 0, '29']
['STORE', '0x7f8c84000f50', -1, 1, '21']
['STORE', '0x7f8c84000f58', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c003548', -1, 1, '29']
['STORE', '0x7f8c8c0035a0', -1, 0, '21']
['STORE', '0x7f8c8c0035a8', '0x7f8c8c002f50', 0, '22']
['STORE', '0x7f8c84000f58', -1, 0, '29']
['STORE', '0x7f8c84000fb0', -1, 1, '21']
['STORE', '0x7f8c84000fb8', '0x7f8c8c002f50', 1, '22']
['STORE', '0x7f8c8c0035a8', -1, 1, '29']
['STORE', '0x7f8c84001010', -1, 1, '21']
