Threads: [{'140104195585856': 0, '140104195581696': 1, '140104187188992': 2}]
['STORE', '0x1f14b50', -1, 0, '22']
['STORE', '0x1f14b58', '0x1f14b50', 0, '23']
['STORE', '0x1f14c10', -1, 0, '22']
['STORE', '0x1f14c18', '0x1f14b50', 0, '23']
['STORE', '0x1f14b58', -1, 0, '30']
['STORE', '0x1f14ca0', -1, 0, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 0, '23']
['STORE', '0x1f14c18', -1, 0, '30']
['STORE', '0x1f14d00', -1, 0, '22']
['STORE', '0x1f14d08', '0x1f14b50', 0, '23']
['STORE', '0x1f14ca8', -1, 0, '30']
['STORE', '0x1f14d60', -1, 0, '22']
['STORE', '0x1f14d68', '0x1f14b50', 0, '23']
['STORE', '0x1f14d08', -1, 0, '30']
['STORE', '0x1f14dc0', -1, 0, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 0, '23']
['STORE', '0x1f14d68', -1, 0, '30']
['STORE', '0x1f14e20', -1, 0, '22']
['STORE', '0x1f14e28', '0x1f14b50', 0, '23']
['STORE', '0x1f14dc8', -1, 0, '30']
['STORE', '0x1f14e80', -1, 0, '22']
['STORE', '0x1f14e88', '0x1f14b50', 0, '23']
['STORE', '0x1f14e28', -1, 0, '30']
['STORE', '0x1f14ee0', -1, 0, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 0, '23']
['STORE', '0x1f14e88', -1, 0, '30']
['STORE', '0x1f14f40', -1, 0, '22']
['STORE', '0x1f14f48', '0x1f14b50', 0, '23']
['STORE', '0x1f14ee8', -1, 0, '30']
['STORE', '0x1f14b50', -1, 1, '22']
['STORE', '0x1f14b58', '0x1f14b50', 1, '23']
['STORE', '0x1f14f48', -1, 1, '30']
['STORE', '0x1f14c10', -1, 2, '22']
['STORE', '0x1f14c18', '0x1f14b50', 2, '23']
['STORE', '0x1f14b58', -1, 2, '30']
['STORE', '0x1f14ca0', -1, 1, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 1, '23']
['STORE', '0x1f14c18', -1, 1, '30']
['STORE', '0x1f14d00', -1, 2, '22']
['STORE', '0x1f14d08', '0x1f14b50', 2, '23']
['STORE', '0x1f14ca8', -1, 2, '30']
['STORE', '0x1f14dc0', -1, 1, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 1, '23']
['STORE', '0x1f14d08', -1, 1, '30']
['STORE', '0x1f14d60', -1, 2, '22']
['STORE', '0x1f14d68', '0x1f14b50', 2, '23']
['STORE', '0x1f14dc8', -1, 2, '30']
['STORE', '0x1f14e20', -1, 1, '22']
['STORE', '0x1f14e28', '0x1f14b50', 1, '23']
['STORE', '0x1f14d68', -1, 1, '30']
['STORE', '0x1f14e80', -1, 2, '22']
['STORE', '0x1f14e88', '0x1f14b50', 2, '23']
['STORE', '0x1f14e28', -1, 2, '30']
['STORE', '0x1f14ee0', -1, 1, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 1, '23']
['STORE', '0x1f14e88', -1, 1, '30']
['STORE', '0x1f14f40', -1, 2, '22']
['STORE', '0x1f14f48', '0x1f14b50', 2, '23']
['STORE', '0x1f14ee8', -1, 2, '30']
['STORE', '0x1f14b50', -1, 1, '22']
['STORE', '0x1f14b58', '0x1f14b50', 1, '23']
['STORE', '0x1f14f48', -1, 1, '30']
['STORE', '0x1f14c10', -1, 2, '22']
['STORE', '0x1f14c18', '0x1f14b50', 2, '23']
['STORE', '0x1f14b58', -1, 2, '30']
['STORE', '0x1f14ca0', -1, 1, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 1, '23']
['STORE', '0x1f14c18', -1, 1, '30']
['STORE', '0x1f14d00', -1, 2, '22']
['STORE', '0x1f14d08', '0x1f14b50', 2, '23']
['STORE', '0x1f14ca8', -1, 2, '30']
['STORE', '0x1f14dc0', -1, 1, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 1, '23']
['STORE', '0x1f14d08', -1, 1, '30']
['STORE', '0x1f14d60', -1, 2, '22']
['STORE', '0x1f14d68', '0x1f14b50', 2, '23']
['STORE', '0x1f14dc8', -1, 2, '30']
['STORE', '0x1f14e80', -1, 1, '22']
['STORE', '0x1f14e88', '0x1f14b50', 1, '23']
['STORE', '0x1f14d68', -1, 1, '30']
['STORE', '0x1f14e20', -1, 2, '22']
['STORE', '0x1f14e28', '0x1f14b50', 2, '23']
['STORE', '0x1f14e88', -1, 2, '30']
['STORE', '0x1f14ee0', -1, 2, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 2, '23']
['STORE', '0x1f14e28', -1, 2, '30']
['STORE', '0x1f14f40', -1, 1, '22']
['STORE', '0x1f14f48', '0x1f14b50', 1, '23']
['STORE', '0x1f14ee8', -1, 1, '30']
['STORE', '0x1f14b50', -1, 2, '22']
['STORE', '0x1f14b58', '0x1f14b50', 2, '23']
['STORE', '0x1f14f48', -1, 2, '30']
['STORE', '0x1f14c10', -1, 1, '22']
['STORE', '0x1f14c18', '0x1f14b50', 1, '23']
['STORE', '0x1f14b58', -1, 1, '30']
['STORE', '0x1f14ca0', -1, 2, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 2, '23']
['STORE', '0x1f14c18', -1, 2, '30']
['STORE', '0x1f14d00', -1, 1, '22']
['STORE', '0x1f14d08', '0x1f14b50', 1, '23']
['STORE', '0x1f14ca8', -1, 1, '30']
['STORE', '0x1f14d60', -1, 1, '22']
['STORE', '0x1f14d68', '0x1f14b50', 1, '23']
['STORE', '0x1f14d08', -1, 1, '30']
['STORE', '0x1f14dc0', -1, 2, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 2, '23']
['STORE', '0x1f14d68', -1, 2, '30']
['STORE', '0x1f14e80', -1, 1, '22']
['STORE', '0x1f14e88', '0x1f14b50', 1, '23']
['STORE', '0x1f14dc8', -1, 1, '30']
['STORE', '0x1f14e20', -1, 2, '22']
['STORE', '0x1f14e28', '0x1f14b50', 2, '23']
['STORE', '0x1f14e88', -1, 2, '30']
['STORE', '0x1f14ee0', -1, 1, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 1, '23']
['STORE', '0x1f14e28', -1, 1, '30']
['STORE', '0x1f14b50', -1, 1, '22']
['STORE', '0x1f14b58', '0x1f14b50', 1, '23']
['STORE', '0x1f14ee8', -1, 1, '30']
['STORE', '0x1f14f40', -1, 2, '22']
['STORE', '0x1f14f48', '0x1f14b50', 2, '23']
['STORE', '0x1f14b58', -1, 2, '30']
['STORE', '0x1f14c10', -1, 1, '22']
['STORE', '0x1f14c18', '0x1f14b50', 1, '23']
['STORE', '0x1f14f48', -1, 1, '30']
['STORE', '0x1f14ca0', -1, 2, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 2, '23']
['STORE', '0x1f14c18', -1, 2, '30']
['STORE', '0x1f14d00', -1, 1, '22']
['STORE', '0x1f14d08', '0x1f14b50', 1, '23']
['STORE', '0x1f14ca8', -1, 1, '30']
['STORE', '0x1f14d60', -1, 2, '22']
['STORE', '0x1f14d68', '0x1f14b50', 2, '23']
['STORE', '0x1f14d08', -1, 2, '30']
['STORE', '0x1f14dc0', -1, 1, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 1, '23']
['STORE', '0x1f14d68', -1, 1, '30']
['STORE', '0x1f14e80', -1, 2, '22']
['STORE', '0x1f14e88', '0x1f14b50', 2, '23']
['STORE', '0x1f14dc8', -1, 2, '30']
['STORE', '0x1f14ee0', -1, 2, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 2, '23']
['STORE', '0x1f14e88', -1, 2, '30']
['STORE', '0x1f14e20', -1, 1, '22']
['STORE', '0x1f14e28', '0x1f14b50', 1, '23']
['STORE', '0x1f14ee8', -1, 1, '30']
['STORE', '0x1f14f40', -1, 1, '22']
['STORE', '0x1f14f48', '0x1f14b50', 1, '23']
['STORE', '0x1f14e28', -1, 1, '30']
['STORE', '0x1f14b50', -1, 2, '22']
['STORE', '0x1f14b58', '0x1f14b50', 2, '23']
['STORE', '0x1f14f48', -1, 2, '30']
['STORE', '0x1f14c10', -1, 1, '22']
['STORE', '0x1f14c18', '0x1f14b50', 1, '23']
['STORE', '0x1f14b58', -1, 1, '30']
['STORE', '0x1f14ca0', -1, 2, '22']
['STORE', '0x1f14ca8', '0x1f14b50', 2, '23']
['STORE', '0x1f14c18', -1, 2, '30']
['STORE', '0x1f14d00', -1, 1, '22']
['STORE', '0x1f14d08', '0x1f14b50', 1, '23']
['STORE', '0x1f14ca8', -1, 1, '30']
['STORE', '0x1f14d60', -1, 2, '22']
['STORE', '0x1f14d68', '0x1f14b50', 2, '23']
['STORE', '0x1f14d08', -1, 2, '30']
['STORE', '0x1f14dc0', -1, 1, '22']
['STORE', '0x1f14dc8', '0x1f14b50', 1, '23']
['STORE', '0x1f14d68', -1, 1, '30']
['STORE', '0x1f14e80', -1, 2, '22']
['STORE', '0x1f14e88', '0x1f14b50', 2, '23']
['STORE', '0x1f14dc8', -1, 2, '30']
['STORE', '0x1f14ee0', -1, 1, '22']
['STORE', '0x1f14ee8', '0x1f14b50', 1, '23']
['STORE', '0x1f14e88', -1, 1, '30']
['STORE', '0x1f14e20', -1, 2, '22']
['STORE', '0x1f14e28', '0x1f14b50', 2, '23']
['STORE', '0x1f14ee8', -1, 2, '30']
['STORE', '0x1f14f40', -1, 2, '22']
['STORE', '0x1f14f48', '0x1f14b50', 2, '23']
['STORE', '0x1f14e28', -1, 2, '30']
