Threads: [{'140621447591744': 0, '140621439194880': 1, '140621447587584': 2}]
['STORE', '0x1302d40', -1, 0, '56']
['STORE', '0x1302d48', '0x1302d40', 0, '57']
['STORE', '0x1302d48', -1, 0, '83']
['STORE', '0x1302e90', -1, 0, '56']
['STORE', '0x1302e98', '0x1302d40', 0, '57']
['STORE', '0x1302e98', -1, 0, '83']
['STORE', '0x1302ef0', -1, 0, '56']
['STORE', '0x1302ef8', '0x1302d40', 0, '57']
['STORE', '0x1302ef8', -1, 0, '83']
['STORE', '0x1302f50', -1, 0, '56']
['STORE', '0x1302f58', '0x1302d40', 0, '57']
['STORE', '0x1302f58', -1, 0, '83']
['STORE', '0x1302fb0', -1, 0, '56']
['STORE', '0x1302fb8', '0x1302d40', 0, '57']
['STORE', '0x1302fb8', -1, 0, '83']
['STORE', '0x1303010', -1, 0, '56']
['STORE', '0x1303018', '0x1302d40', 0, '57']
['STORE', '0x1303018', -1, 0, '83']
['STORE', '0x1303070', -1, 0, '56']
['STORE', '0x1303078', '0x1302d40', 0, '57']
['STORE', '0x1303078', -1, 0, '83']
['STORE', '0x13030d0', -1, 0, '56']
['STORE', '0x13030d8', '0x1302d40', 0, '57']
['STORE', '0x13030d8', -1, 0, '83']
['STORE', '0x1303130', -1, 0, '56']
['STORE', '0x1303138', '0x1302d40', 0, '57']
['STORE', '0x1303138', -1, 0, '83']
['STORE', '0x1303190', -1, 0, '56']
['STORE', '0x1303198', '0x1302d40', 0, '57']
['STORE', '0x1303198', -1, 0, '83']
['STORE', '0x1302e98', -1, 1, '111']
['STORE', '0x1302d40', -1, 1, '56']
['STORE', '0x1302d48', '0x1302d40', 1, '57']
['STORE', '0x1302d48', -1, 1, '83']
['STORE', '0x1302ef8', -1, 2, '111']
['STORE', '0x1302e90', -1, 2, '56']
['STORE', '0x1302e98', '0x1302d40', 2, '57']
['STORE', '0x1302e98', -1, 2, '83']
['STORE', '0x1302f58', -1, 1, '111']
['STORE', '0x1302ef0', -1, 1, '56']
['STORE', '0x1302ef8', '0x1302d40', 1, '57']
['STORE', '0x1302ef8', -1, 1, '83']
['STORE', '0x1302fb8', -1, 1, '111']
['STORE', '0x1302f50', -1, 1, '56']
['STORE', '0x1302f58', '0x1302d40', 1, '57']
['STORE', '0x1302f58', -1, 1, '83']
['STORE', '0x1303018', -1, 1, '111']
['STORE', '0x1302fb0', -1, 1, '56']
['STORE', '0x1302fb8', '0x1302d40', 1, '57']
['STORE', '0x1302fb8', -1, 1, '83']
