['Lock_0', 105, 'M1', -1, 3, '112_x']
[2, 101, '0x7fa78c002020', '-1', 3, '112']
[3, 102, '0x7fa78c002020', '-1', 3, '112_x']
[4, 103, '0', '-1', 3, '112_x']
['UnLock_0', 106, 'M1', -1, 3, '112_x']
['Lock_1', 105, 'M1', -1, 5, '113_x']
[5, 101, '0x7fa78c002024', '0x7fa78c002020', 5, '113']
[6, 102, '0x7fa78c002024', '-1', 5, '113_x']
[7, 103, '0', '-1', 5, '113_x']
['UnLock_1', 106, 'M1', -1, 5, '113_x']
[15, 101, '0x7fa7940029a8', '0x7fa78c002024', 1, '114']
['Lock_0', 105, 'M1', -1, 3, '112_x']
[2, 101, '0x7fa78c002020', '-1', 3, '112']
[3, 102, '0x7fa78c002020', '-1', 3, '112_x']
[4, 103, '0', '-1', 3, '112_x']
['UnLock_0', 106, 'M1', -1, 3, '112_x']
['Lock_1', 105, 'M1', -1, 5, '113_x']
[5, 101, '0x7fa78c002024', '0x7fa78c002020', 5, '113']
[6, 102, '0x7fa78c002024', '-1', 5, '113_x']
[7, 103, '0', '-1', 5, '113_x']
['UnLock_1', 106, 'M1', -1, 5, '113_x']
['Lock_2', 105, 'M1', -1, 6, '114_x']
[8, 101, '0x7fa78c002028', '0x7fa78c002024', 6, '114']
['UnLock_2', 106, 'M1', -1, 6, '114_x']
[9, 102, '0x7fa78c002028', '-1', 6, '114_x']
[10, 103, '0', '-1', 6, '113_x']
[11, 103, '0', '-1', 0, '112_x']
[12, 103, '0', '-1', 0, '114_x']
[13, 101, '0x7fa7940029a0', '-1', 1, '112']
[14, 101, '0x7fa7940029a4', '0x7fa78c002020', 1, '113']
[15, 101, '0x7fa7940029a8', '0x7fa78c002024', 1, '114']
