MPA: [pc_newNode_76; pc_pq_extract_min_124]
MPA: [pc_pq_insert_96; pc_pq_insert_102]
MPA: [pc_pq_insert_95; pc_pq_insert_96]
MPA: [pc_pq_insert_95; pc_pq_insert_101]
MPA: [pc_pq_insert_95; pc_pq_insert_104]
MPA: [pc_pq_insert_96; pc_pq_insert_101]
MPA: [pc_pq_insert_101; pc_pq_insert_104]
MPA: [pc_pq_insert_102; pc_pq_insert_101]
MPA: [pc_pq_insert_104; pc_pq_insert_102]
MPA: [pc_pq_insert_104; pc_pq_insert_105]
MPA: [pc_pq_insert_104; pc_pq_extract_min_125]
MPA: [pc_pq_insert_105; pc_pq_insert_102]
MPA: [pc_pq_insert_105; pc_pq_insert_101]
