Threads: [{'139760637859904': 0, '139759532680960': 1, '139759524288256': 2}]
['STORE', '0x7f1c4f5c0550', -1, 0, 'initCCEH_168']
['STORE', '0x7f1c4f5c05f0', -1, 0, 'initDirectory_163']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 0, 'initDirectory_164']
['STORE', '0x7f1c4f5c05e8', -1, 0, 'initDirectory_164']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05e8', 0, 'initDirectory_165']
['STORE', '0x7f1c4f5c05e8', '0x7f1c4f5c05e8', 0, 'initCCEH_171']
['STORE', '0x7f1c4f5c05e8', '0x7f1c4f5c05e8', 0, 'initCCEH_173']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_228']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_228']
['STORE', '0x7f1c502a85d8', -1, 2, 'Insert_235']
['STORE', '0x7f1c502a4dd0', -1, 2, 'Insert_238']
['STORE', '0x7f1c4fda85d8', -1, 1, 'Insert_235']
['STORE', '0x7f1c4fda5790', -1, 1, 'Insert_238']
['STORE', '0x7f1c502a85d8', -1, 2, 'Insert_240']
['STORE', '0x7f1c502a4dd0', '0x7f1c502a85d8', 2, 'Insert_240']
['STORE', '0x7f1c4fda85d8', -1, 1, 'Insert_240']
['STORE', '0x7f1c4fda5790', '0x7f1c502a85d8', 1, 'Insert_240']
['STORE', '0x7f1c502a4dd8', -1, 2, 'Insert_242']
['STORE', '0x7f1c4fda5798', -1, 1, 'Insert_242']
['FENCE', 0, -1, 2, 'Insert_245']
['STORE', '0x7f1c502a4dd0', -1, 2, 'Insert_246']
['FENCE', 0, -1, 1, 'Insert_245']
['STORE', '0x7f1c4fda5790', -1, 1, 'Insert_246']
['FLUSH', '0x7f1c502a4dd0', -1, 2, 'Insert_248']
['FENCE', 0, -1, 2, 'Insert_248']
['FLUSH', '0x7f1c4fda5790', -1, 1, 'Insert_248']
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_228']
['STORE', '0x7f1c4fdcca58', -1, 2, 'Insert_235']
['STORE', '0x7f1c4fdcc010', -1, 2, 'Insert_238']
['STORE', '0x7f1c4fdcca58', -1, 2, 'Insert_240']
['STORE', '0x7f1c4fdcc010', '0x7f1c502a85d8', 2, 'Insert_240']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_214']
['STORE', '0x7f1c4fdcc018', -1, 2, 'Insert_242']
['FENCE', 0, -1, 2, 'Insert_245']
['STORE', '0x7f1c4fdcc010', -1, 2, 'Insert_246']
['FLUSH', '0x7f1c4fdcc010', -1, 2, 'Insert_248']
['FENCE', 0, -1, 2, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_228']
['STORE', '0x7f1c505e8858', -1, 1, 'Insert_235']
['STORE', '0x7f1c505e6090', -1, 1, 'Insert_238']
['STORE', '0x7f1c505e8858', -1, 1, 'Insert_240']
['STORE', '0x7f1c505e6090', '0x7f1c502a85d8', 1, 'Insert_240']
['STORE', '0x7f1c505e6098', -1, 1, 'Insert_242']
['FENCE', 0, -1, 1, 'Insert_245']
['STORE', '0x7f1c505e6090', -1, 1, 'Insert_246']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_214']
['FLUSH', '0x7f1c505e6090', -1, 1, 'Insert_248']
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_228']
['STORE', '0x7f1c504ee958', -1, 2, 'Insert_235']
['STORE', '0x7f1c504ec090', -1, 2, 'Insert_238']
['STORE', '0x7f1c504ee958', -1, 2, 'Insert_240']
['STORE', '0x7f1c504ec090', '0x7f1c502a85d8', 2, 'Insert_240']
['STORE', '0x7f1c504ec098', -1, 2, 'Insert_242']
['FENCE', 0, -1, 2, 'Insert_245']
['STORE', '0x7f1c504ec090', -1, 2, 'Insert_246']
['FLUSH', '0x7f1c504ec090', -1, 2, 'Insert_248']
['FENCE', 0, -1, 2, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_228']
['STORE', '0x7f1c50024558', -1, 1, 'Insert_235']
['STORE', '0x7f1c500220d0', -1, 1, 'Insert_238']
['STORE', '0x7f1c50024558', -1, 1, 'Insert_240']
['STORE', '0x7f1c500220d0', '0x7f1c502a85d8', 1, 'Insert_240']
['STORE', '0x7f1c500220d8', -1, 1, 'Insert_242']
['FENCE', 0, -1, 1, 'Insert_245']
['STORE', '0x7f1c500220d0', -1, 1, 'Insert_246']
['FLUSH', '0x7f1c500220d0', -1, 1, 'Insert_248']
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_228']
['STORE', '0x7f1c4fd96e58', -1, 2, 'Insert_235']
['STORE', '0x7f1c4fd96ad0', -1, 2, 'Insert_238']
['STORE', '0x7f1c4fd96e58', -1, 2, 'Insert_240']
['STORE', '0x7f1c4fd96ad0', '0x7f1c502a85d8', 2, 'Insert_240']
['STORE', '0x7f1c4fd96ad8', -1, 2, 'Insert_242']
['FENCE', 0, -1, 2, 'Insert_245']
['STORE', '0x7f1c4fd96ad0', -1, 2, 'Insert_246']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_214']
['FLUSH', '0x7f1c4fd96ad0', -1, 2, 'Insert_248']
['FENCE', 0, -1, 2, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_228']
['STORE', '0x7f1c4fa2ce58', -1, 1, 'Insert_235']
['STORE', '0x7f1c4fa2a6d0', -1, 1, 'Insert_238']
['STORE', '0x7f1c4fa2ce58', -1, 1, 'Insert_240']
['STORE', '0x7f1c4fa2a6d0', '0x7f1c502a85d8', 1, 'Insert_240']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_214']
['STORE', '0x7f1c4fa2a6d8', -1, 1, 'Insert_242']
['FENCE', 0, -1, 1, 'Insert_245']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 2, 'Insert_228']
['STORE', '0x7f1c4fa2a6d0', -1, 1, 'Insert_246']
['FLUSH', '0x7f1c4fa2a6d0', -1, 1, 'Insert_248']
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c502dcc58', -1, 2, 'Insert_235']
['STORE', '0x7f1c502d9c90', -1, 2, 'Insert_238']
['STORE', '0x7f1c502dcc58', -1, 2, 'Insert_240']
['STORE', '0x7f1c502d9c90', '0x7f1c502a85d8', 2, 'Insert_240']
['STORE', '0x7f1c502d9c98', -1, 2, 'Insert_242']
['FENCE', 0, -1, 2, 'Insert_245']
['STORE', '0x7f1c502d9c90', -1, 2, 'Insert_246']
['FLUSH', '0x7f1c502d9c90', -1, 2, 'Insert_248']
['FENCE', 0, -1, 2, 'Insert_248']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_214']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Insert_228']
['STORE', '0x7f1c5025a6d8', -1, 1, 'Insert_235']
['STORE', '0x7f1c50257250', -1, 1, 'Insert_238']
['STORE', '0x7f1c5025a6d8', -1, 1, 'Insert_240']
['STORE', '0x7f1c50257250', '0x7f1c502a85d8', 1, 'Insert_240']
['STORE', '0x7f1c50257258', -1, 1, 'Insert_242']
['FENCE', 0, -1, 1, 'Insert_245']
['STORE', '0x7f1c50257250', -1, 1, 'Insert_246']
['FLUSH', '0x7f1c50257250', -1, 1, 'Insert_248']
['FENCE', 0, -1, 1, 'Insert_248']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 1, 'Get_428']
['STORE', '0x7f1c4f5c05f0', '0x7f1c4f5c05f0', 1, 'Get_432']
['STORE', '0x7f1c4f5c05e0', '0x7f1c4f5c05f0', 2, 'Get_428']
