Threads: [{'139888889608256': 0, '139888858281728': 1}]
['tx_begin', 0, -1, 0, 'manual<>_110']
['STORE', '0x7f38403c0660', -1, 0, 'swap<bool>_195']
['STORE', '0x7f38403c05d0', -1, 0, 'compound_pool_ptr_61']
['STORE', '0x7f38403c05e0', -1, 0, 'p_75']
['STORE', '0x7f38403c05d8', -1, 0, 'clevel_hash_285']
['STORE', '0x7f38403c05d8', '0x7f38403c05d8', 0, 'operator<<<unsigned58']
['STORE', '0x7f38403c0630', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 0, 'clevel_hash_294']
['STORE', '0x7f38403c05d8', '0x7f38403c05d8', 0, 'operator128']
['STORE', '0x7f38403c06e0', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c06e8', -1, 0, 'operator=_99']
['STORE', '0x7f38403c0650', -1, 0, 'clevel_hash_300']
['STORE', '0x7f38403c05d8', '0x7f38403c05d8', 0, 'operator128']
['STORE', '0x7f38403c0760', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 0, 'clevel_hash_305']
['STORE', '0x7f38403c0768', -1, 0, 'operator=_107']
['STORE', '0x7f38403c0658', -1, 0, 'clevel_hash_306']
['STORE', '0x7f38403c0660', -1, 0, 'swap<bool>_195']
['STORE', '0x7f38403c05f0', -1, 0, 'store_397']
['STORE', '0x7f38403c05e8', -1, 0, 'swap<long>_195']
['STORE', '0x7f38403c0628', -1, 0, 'swap<std::thread::id>_194']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 0, 'clevel_hash_314']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 0, 'clevel_hash_314']
['STORE', '0x7f38403c0550', -1, 0, 'operator=_206']
['STORE', '0x7f38403c0558', -1, 0, 'operator=_206']
['STORE', '0x7f38403c0550', '0x7f38403c0550', 0, 'get_288']
['STORE', '0x7f38403c0558', '0x7f38403c0558', 0, 'get_293']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c05f0', '0x7f38403c05f0', 1, 'load_419']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 1, 'resize_1439']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0658', '0x7f38403c0658', 1, 'resize_0']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 1, 'resize_1447']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0768', '0x7f38403c0768', 1, 'resize_0']
['STORE', '0x7f38403c05e0', '0x7f38403c05e0', 0, 'operator128']
['STORE', '0x7f38403c05e0', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c05f8', -1, 0, 'operator=_206']
['STORE', '0x7f38403c0600', -1, 0, 'operator=_206']
['STORE', '0x7f38403c05e0', '0x7f38403c05e0', 0, 'operator128']
['STORE', '0x7f38403c0608', -1, 0, 'operator=_206']
['STORE', '0x7f38403c0610', -1, 0, 'operator=_206']
['STORE', '0x7f38403c05e0', '0x7f38403c05e0', 0, 'operator128']
['STORE', '0x7f38403c0618', -1, 0, 'operator=_206']
['STORE', '0x7f38403c0620', -1, 0, 'operator=_206']
['tx_commit', 0, -1, 0, 'commit_355']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 0, 'capacity_412']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c0658', '0x7f38403c0768', 0, 'capacity_0']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 0, 'capacity_425']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c0760', '0x7f38403c06e0', 0, 'operator128']
['STORE', '0x7f38403c0768', '0x7f38403c0768', 0, 'capacity_0']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 0, 'capacity_425']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c06e0', '0x7f38403c06e0', 0, 'operator128']
['STORE', '0x7f38403c05f0', '0x7f38403c05f0', 1, 'load_419']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 1, 'resize_1439']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0658', '0x7f38403c0658', 1, 'resize_0']
['STORE', '0x7f38403c0650', '0x7f38403c0650', 1, 'resize_1447']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
['STORE', '0x7f38403c0768', '0x7f38403c0768', 1, 'resize_0']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 0, 'operator128']
['STORE', '0x7f38403c0618', '0x7f38403c0618', 0, 'get_288']
['STORE', '0x7f38403c0620', '0x7f38403c0620', 0, 'get_293']
['tx_begin', 0, -1, 0, 'manual<>_110']
['STORE', '0x7f38403c0950', -1, 0, 'construct<const193']
['STORE', '0x7f38403c0958', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c0958', '0x7f38403c0958', 0, 'allocate_0']
['STORE', '0x7f38403c0958', -1, 0, 'allocate_0']
['STORE', '0x7f38403c0958', '0x7f38403c0958', 0, 'operator128']
['STORE', '0x7f38403c0958', -1, 0, 'swap<unsigned195']
['STORE', '0x7f38403c096f', -1, 0, 'assign_sso_data<const2315']
['STORE', '0x7f38403c05f0', '0x7f38403c05f0', 1, 'load_419']
['STORE', '0x7f38403c05d0', '0x7f38403c05d0', 1, 'resize_1439']
['STORE', '0x7f38403c0978', -1, 0, 'construct<const193']
['STORE', '0x7f38403c0630', '0x7f38403c0630', 1, 'operator128']
