Threads: [{'140049236116224': 0, '140049226135296': 1, '140049217742592': 2}]
['STORE', '0x7f5fc0a53088', -1, 0, 'clht_hashtable_create_269']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 0, 'clht_hashtable_create_270']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 0, 'clht_hashtable_create_277']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 0, 'clht_hashtable_create_282']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 0, 'clht_hashtable_create_286']
['STORE', '0x7f5fc0a53080', '0x7f5fc0a53088', 0, 'clht_hashtable_create_290']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53080', 0, 'clht_hashtable_create_291']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53090', 0, 'clht_hashtable_create_292']
['STORE', '0x7f5fc0a530c0', '0x7f5fc0a53098', 0, 'clht_hashtable_create_293']
['STORE', '0x7f5fc0a530d0', '0x7f5fc0a530c0', 0, 'clht_hashtable_create_294']
['STORE', '0x7f5fc0a530c8', '0x7f5fc0a530d0', 0, 'clht_hashtable_create_295']
['STORE', '0x7f5fc0a530d8', '0x7f5fc0a530c8', 0, 'clht_hashtable_create_296']
['STORE', '0x7f5fc0a530dc', '0x7f5fc0a530d8', 0, 'clht_hashtable_create_297']
['STORE', '0x7f5fc0a530dc', '0x7f5fc0a530dc', 0, 'clht_hashtable_create_298']
['STORE', '0x7f5fc0a530e0', '0x7f5fc0a530dc', 0, 'clht_hashtable_create_302']
['STORE', '0x7f5fc0a530e4', '0x7f5fc0a530e0', 0, 'clht_hashtable_create_303']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 0, 'clht_create_243']
['FLUSH', '0x7f5fc0a5dac0', -1, 0, 'clht_create_243']
['FLUSH', '0x7f5fc0a53080', -1, 0, 'clht_create_244']
['FLUSH', '0x7f5fc0a53000', -1, 0, 'clht_create_245']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53098', 1, 'clht_gc_thread_init_51']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53098', 2, 'clht_gc_thread_init_51']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_put_381']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_put_381']
['FLUSH', '0x7f5fc0a5db20', -1, 1, 'clht_put_449']
['FLUSH', '0x7f5fc0a5dc60', -1, 2, 'clht_put_449']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_put_381']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_put_381']
['FLUSH', '0x7f5fc0a5dca0', -1, 2, 'clht_put_449']
['FLUSH', '0x7f5fc0a5db60', -1, 1, 'clht_put_449']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_put_381']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_put_381']
['FLUSH', '0x7f5fc0a5dce0', -1, 2, 'clht_put_449']
['FLUSH', '0x7f5fc0a5dba0', -1, 1, 'clht_put_449']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_put_381']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_put_381']
['FLUSH', '0x7f5fc0a5dd20', -1, 2, 'clht_put_449']
['FLUSH', '0x7f5fc0a5dbe0', -1, 1, 'clht_put_449']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_put_381']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_put_381']
['FLUSH', '0x7f5fc0a5dd60', -1, 2, 'clht_put_449']
['FLUSH', '0x7f5fc0a5dc20', -1, 1, 'clht_put_449']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53098', 1, 'clht_gc_thread_init_51']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53098', 2, 'clht_gc_thread_init_51']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 2, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 2, 'clht_get_327']
['STORE', '0x7f5fc0a53090', '0x7f5fc0a53090', 1, 'clht_hash_318']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53088', 1, 'clht_get_327']
['STORE', '0x7f5fc0a53098', '0x7f5fc0a53098', 0, 'clht_gc_collect_cond_154']
['STORE', '0x7f5fc0a53080', '0x7f5fc0a53080', 0, 'clht_gc_free_219']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a530c0', 0, 'clht_gc_free_225']
['STORE', '0x7f5fc0a53088', '0x7f5fc0a53080', 0, 'clht_gc_free_236']
