Threads: [{'140340145497856': 0, '140340128712448': 1, '140340137105152': 2, '140340120319744': 3, '140340145513088': 4}]
['STORE', '0x1f4a850', -1, 0, 'insert_117']
['STORE', '0x1f4a854', -1, 1, 'insert_117']
['STORE', '0x1f4a858', -1, 2, 'insert_117']
['STORE', '0x1f4a85c', -1, 3, 'insert_117']
['STORE', '0x1f4a858', '0x1f4a850', 1, 'get_152']
['STORE', '0x1f4a850', '0x1f4a850', 0, 'get_152']
['STORE', '0x1f4a858', '0x1f4a850', 2, 'get_152']
['STORE', '0x1f4a860', -1, 1, 'insert_117']
['STORE', '0x1f4a864', -1, 0, 'insert_117']
['STORE', '0x1f4a868', -1, 2, 'insert_117']
['STORE', '0x1f4a85c', '0x1f4a850', 3, 'get_152']
['STORE', '0x1f4a86c', -1, 3, 'insert_117']
['STORE', '0x1f4a850', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a854', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a858', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a85c', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a860', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a864', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a868', '0x1f4a850', 4, 'display_233']
['STORE', '0x1f4a86c', '0x1f4a850', 4, 'display_233']
