Threads: [{'140077036003968': 0, '140077035988736': 1, '140077027596032': 2}]
['STORE', '0x1b57a90', -1, 0, 'createGraph_40']
['STORE', '0x1b57a98', -1, 0, 'createGraph_41']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57b40', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57b70', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57ba0', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57bd0', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57c00', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57c30', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57c60', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57c90', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57cc0', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_45']
['STORE', '0x1b57cf0', -1, 0, 'createGraph_45']
['STORE', '0x1b57a98', '0x1b57a98', 0, 'createGraph_46']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_80']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_84']
['STORE', '0x1b57bd0', '0x1b57b40', 1, 'addEdge_84']
['STORE', '0x7f6634003aa8', -1, 1, 'addEdge_84']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_85']
['STORE', '0x1b57bd0', -1, 1, 'addEdge_85']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_87']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_90']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_93']
['STORE', '0x1b57c60', '0x1b57bd0', 1, 'addEdge_93']
['STORE', '0x7f6634003cb8', -1, 1, 'addEdge_93']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_94']
['STORE', '0x1b57c60', -1, 1, 'addEdge_94']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_96']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_146']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_148']
['STORE', '0x1b57bd0', '0x1b57bd0', 1, 'hasEdge_148']
['STORE', '0x7f6634003aa0', '0x7f6634003aa0', 1, 'hasEdge_150']
['STORE', '0x7f6634003aa8', '0x7f6634003aa8', 1, 'hasEdge_154']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_157']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_80']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_80']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_84']
['STORE', '0x1b57c90', '0x1b57b40', 2, 'addEdge_84']
['STORE', '0x7f662c000d48', -1, 2, 'addEdge_84']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_85']
['STORE', '0x1b57c90', -1, 2, 'addEdge_85']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_87']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_90']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_84']
['STORE', '0x1b57c60', '0x1b57b40', 1, 'addEdge_84']
['STORE', '0x7f66340058b8', -1, 1, 'addEdge_84']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_85']
['STORE', '0x1b57c60', -1, 1, 'addEdge_85']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_87']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_90']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_93']
['STORE', '0x1b57c30', '0x1b57bd0', 2, 'addEdge_93']
['STORE', '0x7f662c000da8', -1, 2, 'addEdge_93']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_94']
['STORE', '0x1b57c30', -1, 2, 'addEdge_94']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_96']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_93']
['STORE', '0x1b57ba0', '0x1b57bd0', 1, 'addEdge_93']
['STORE', '0x7f6634005918', -1, 1, 'addEdge_93']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_94']
['STORE', '0x1b57ba0', -1, 1, 'addEdge_94']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_96']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_146']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_148']
['STORE', '0x1b57ba0', '0x1b57bd0', 1, 'hasEdge_148']
['STORE', '0x7f6634005910', '0x7f6634003aa0', 1, 'hasEdge_150']
['STORE', '0x7f6634005918', '0x7f6634003aa8', 1, 'hasEdge_154']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'hasEdge_157']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'hasEdge_146']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'hasEdge_148']
['STORE', '0x1b57cf0', '0x1b57bd0', 2, 'hasEdge_148']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'hasEdge_157']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_80']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_84']
['STORE', '0x1b57b40', '0x1b57b40', 1, 'addEdge_84']
['STORE', '0x7f6634005978', -1, 1, 'addEdge_84']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_85']
['STORE', '0x1b57b40', -1, 1, 'addEdge_85']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_87']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_90']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_93']
['STORE', '0x1b57cf0', '0x1b57bd0', 1, 'addEdge_93']
['STORE', '0x7f66340059d8', -1, 1, 'addEdge_93']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_94']
['STORE', '0x1b57cf0', -1, 1, 'addEdge_94']
['STORE', '0x1b57a98', '0x1b57a98', 1, 'addEdge_96']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_80']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_84']
['STORE', '0x1b57bd0', '0x1b57b40', 2, 'addEdge_84']
['STORE', '0x7f662c000e08', -1, 2, 'addEdge_84']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_85']
['STORE', '0x1b57bd0', -1, 2, 'addEdge_85']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_87']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_90']
['STORE', '0x1b57a98', '0x1b57a98', 2, 'addEdge_93']
['STORE', '0x1b57c60', '0x1b57bd0', 2, 'addEdge_93']
['STORE', '0x7f662c000e68', -1, 2, 'addEdge_93']
