Threads: [{'139751679087232': 0, '139751670679296': 1, '139751679072000': 2}]
['STORE', '0xbab210', -1, 0, 'newNode_76']
['STORE', '0xbab218', -1, 0, 'pq_insert_96']
['STORE', '0xbab214', '0xbab214', 0, 'pq_insert_95']
['STORE', '0xbac348', -1, 0, 'pq_insert_96']
['STORE', '0xbac344', '0xbab214', 0, 'pq_insert_95']
['STORE', '0xbac348', '0xbac3d8', 0, 'pq_insert_101']
['STORE', '0xbab214', '0xbab214', 0, 'pq_insert_101']
['STORE', '0xbac348', '0xbab218', 0, 'pq_insert_102']
['STORE', '0xbab218', '0xbac3d8', 0, 'pq_insert_101']
['STORE', '0xbab218', '0xbac3d8', 0, 'pq_insert_104']
['STORE', '0xbac3d8', -1, 0, 'pq_insert_104']
['STORE', '0xbab218', -1, 0, 'pq_insert_105']
['STORE', '0xbac344', '0xbab214', 1, 'pq_insert_95']
['STORE', '0xbac348', '0xbac3d8', 1, 'pq_insert_101']
['STORE', '0xbab214', '0xbab214', 1, 'pq_insert_101']
['STORE', '0xbac348', '0xbac3d8', 1, 'pq_insert_104']
['STORE', '0x7f1a6c000d48', -1, 1, 'pq_insert_104']
['STORE', '0xbac348', -1, 1, 'pq_insert_105']
['STORE', '0xbac344', '0xbab214', 2, 'pq_insert_95']
['STORE', '0x7f1a740015c8', -1, 2, 'pq_insert_96']
['STORE', '0x7f1a740015c4', '0xbab214', 1, 'pq_insert_95']
['STORE', '0x7f1a740015c8', '0xbac3d8', 1, 'pq_insert_101']
['STORE', '0xbac344', '0xbab214', 1, 'pq_insert_101']
['STORE', '0x7f1a740015c8', '0xbab218', 1, 'pq_insert_102']
['STORE', '0xbac348', '0xbac3d8', 1, 'pq_insert_101']
['STORE', '0x7f1a6c000d44', '0xbab214', 1, 'pq_insert_101']
['STORE', '0xbac348', '0xbab218', 1, 'pq_insert_102']
['STORE', '0x7f1a6c000d48', '0xbac3d8', 1, 'pq_insert_101']
['STORE', '0xbab214', '0xbab214', 1, 'pq_insert_101']
['STORE', '0x7f1a6c000d48', '0xbac3d8', 1, 'pq_insert_104']
['STORE', '0x7f1a6c000da8', -1, 1, 'pq_insert_104']
['STORE', '0x7f1a6c000d48', -1, 1, 'pq_insert_105']
['STORE', '0x7f1a740015c4', '0xbab214', 2, 'pq_insert_95']
['STORE', '0x7f1a740015c8', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0xbac344', '0xbab214', 2, 'pq_insert_101']
['STORE', '0x7f1a740015c8', '0xbab218', 2, 'pq_insert_102']
['STORE', '0xbac348', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0x7f1a6c000d44', '0xbab214', 2, 'pq_insert_101']
['STORE', '0xbac348', '0xbac3d8', 2, 'pq_insert_104']
['STORE', '0x7f1a74001628', -1, 2, 'pq_insert_104']
['STORE', '0xbac348', -1, 2, 'pq_insert_105']
['STORE', '0x7f1a740015c4', '0xbab214', 1, 'pq_insert_95']
['STORE', '0x7f1a740015c8', '0xbac3d8', 1, 'pq_insert_101']
['STORE', '0xbac344', '0xbab214', 1, 'pq_insert_101']
['STORE', '0x7f1a740015c8', '0xbac3d8', 1, 'pq_insert_104']
['STORE', '0x7f1a6c000e08', -1, 1, 'pq_insert_104']
['STORE', '0x7f1a740015c8', -1, 1, 'pq_insert_105']
['STORE', '0x7f1a740015c4', '0xbab214', 2, 'pq_insert_95']
['STORE', '0x7f1a740015c8', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0x7f1a6c000e04', '0xbab214', 2, 'pq_insert_101']
['STORE', '0x7f1a740015c8', '0xbab218', 2, 'pq_insert_102']
['STORE', '0x7f1a6c000e08', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0xbac344', '0xbab214', 2, 'pq_insert_101']
['STORE', '0x7f1a6c000e08', '0xbab218', 2, 'pq_insert_102']
['STORE', '0xbac348', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0x7f1a74001624', '0xbab214', 2, 'pq_insert_101']
['STORE', '0xbac348', '0xbab218', 2, 'pq_insert_102']
['STORE', '0x7f1a74001628', '0xbac3d8', 2, 'pq_insert_101']
['STORE', '0x7f1a6c000d44', '0xbab214', 2, 'pq_insert_101']
