Threads: [{'140297909170816': 0, '140297909155584': 1, '140297900762880': 2}]
['STORE', '0x1fcff20', -1, 0, 'enqueue_22']
['STORE', '0x1fcff28', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fcffe0', -1, 0, 'enqueue_22']
['STORE', '0x1fcffe8', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fcff28', -1, 0, 'enqueue_30']
['STORE', '0x1fd0070', -1, 0, 'enqueue_22']
['STORE', '0x1fd0078', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fcffe8', -1, 0, 'enqueue_30']
['STORE', '0x1fd00d0', -1, 0, 'enqueue_22']
['STORE', '0x1fd00d8', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd0078', -1, 0, 'enqueue_30']
['STORE', '0x1fd0130', -1, 0, 'enqueue_22']
['STORE', '0x1fd0138', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd00d8', -1, 0, 'enqueue_30']
['STORE', '0x1fd0190', -1, 0, 'enqueue_22']
['STORE', '0x1fd0198', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd0138', -1, 0, 'enqueue_30']
['STORE', '0x1fd01f0', -1, 0, 'enqueue_22']
['STORE', '0x1fd01f8', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd0198', -1, 0, 'enqueue_30']
['STORE', '0x1fd0250', -1, 0, 'enqueue_22']
['STORE', '0x1fd0258', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd01f8', -1, 0, 'enqueue_30']
['STORE', '0x1fd02b0', -1, 0, 'enqueue_22']
['STORE', '0x1fd02b8', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd0258', -1, 0, 'enqueue_30']
['STORE', '0x1fd0310', -1, 0, 'enqueue_22']
['STORE', '0x1fd0318', '0x1fcff20', 0, 'enqueue_23']
['STORE', '0x1fd02b8', -1, 0, 'enqueue_30']
['STORE', '0x1fcff20', '0x1fcff20', 1, 'dequeue_46']
['STORE', '0x1fcff28', '0x1fcff28', 1, 'dequeue_47']
['STORE', '0x1fcffe0', '0x1fcff20', 2, 'dequeue_46']
['STORE', '0x1fcffe8', '0x1fcff28', 2, 'dequeue_47']
['STORE', '0x1fcff20', -1, 1, 'enqueue_22']
['STORE', '0x1fcff28', '0x1fcff20', 1, 'enqueue_23']
['STORE', '0x1fd0318', -1, 1, 'enqueue_30']
['STORE', '0x1fcffe0', -1, 2, 'enqueue_22']
['STORE', '0x1fcffe8', '0x1fcff20', 2, 'enqueue_23']
['STORE', '0x1fcff28', -1, 2, 'enqueue_30']
['STORE', '0x1fd0070', '0x1fcff20', 1, 'dequeue_46']
['STORE', '0x1fd0078', '0x1fcff28', 1, 'dequeue_47']
['STORE', '0x1fd00d0', '0x1fcff20', 2, 'dequeue_46']
['STORE', '0x1fd00d8', '0x1fcff28', 2, 'dequeue_47']
['STORE', '0x1fd0070', -1, 1, 'enqueue_22']
['STORE', '0x1fd0078', '0x1fcff20', 1, 'enqueue_23']
['STORE', '0x1fcffe8', -1, 1, 'enqueue_30']
['STORE', '0x1fd00d0', -1, 2, 'enqueue_22']
['STORE', '0x1fd00d8', '0x1fcff20', 2, 'enqueue_23']
['STORE', '0x1fd0078', -1, 2, 'enqueue_30']
['STORE', '0x1fd0130', '0x1fcff20', 2, 'dequeue_46']
['STORE', '0x1fd0138', '0x1fcff28', 2, 'dequeue_47']
['STORE', '0x1fd0190', '0x1fcff20', 1, 'dequeue_46']
['STORE', '0x1fd0198', '0x1fcff28', 1, 'dequeue_47']
['STORE', '0x1fd0130', -1, 2, 'enqueue_22']
['STORE', '0x1fd0138', '0x1fcff20', 2, 'enqueue_23']
['STORE', '0x1fd00d8', -1, 2, 'enqueue_30']
['STORE', '0x1fd01f0', '0x1fcff20', 2, 'dequeue_46']
['STORE', '0x1fd01f8', '0x1fcff28', 2, 'dequeue_47']
['STORE', '0x1fd0190', -1, 1, 'enqueue_22']
['STORE', '0x1fd0198', '0x1fcff20', 1, 'enqueue_23']
['STORE', '0x1fd0138', -1, 1, 'enqueue_30']
['STORE', '0x1fd0250', '0x1fcff20', 1, 'dequeue_46']
['STORE', '0x1fd0258', '0x1fcff28', 1, 'dequeue_47']
['STORE', '0x1fd01f0', -1, 2, 'enqueue_22']
['STORE', '0x1fd01f8', '0x1fcff20', 2, 'enqueue_23']
['STORE', '0x1fd0198', -1, 2, 'enqueue_30']
['STORE', '0x1fd02b0', '0x1fcff20', 2, 'dequeue_46']
['STORE', '0x1fd02b8', '0x1fcff28', 2, 'dequeue_47']
['STORE', '0x1fd0250', -1, 1, 'enqueue_22']
['STORE', '0x1fd0258', '0x1fcff20', 1, 'enqueue_23']
['STORE', '0x1fd01f8', -1, 1, 'enqueue_30']
['STORE', '0x1fd02b0', -1, 2, 'enqueue_22']
['STORE', '0x1fd02b8', '0x1fcff20', 2, 'enqueue_23']
['STORE', '0x1fd0258', -1, 2, 'enqueue_30']
['STORE', '0x1fd0310', '0x1fcff20', 1, 'dequeue_46']
['STORE', '0x1fd0318', '0x1fcff28', 1, 'dequeue_47']
['STORE', '0x1fcff20', '0x1fcff20', 2, 'dequeue_46']
