Threads: [{'139796402426496': 0, '139796402411264': 1, '139796394018560': 2}]
['STORE', '0xbcf110', -1, 0, 'newNode_56']
['STORE', '0xbcf118', -1, 0, 'set_insert_83']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf268', -1, 0, 'set_insert_83']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf2c8', -1, 0, 'set_insert_83']
['STORE', '0xbcf2c0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf328', -1, 0, 'set_insert_83']
['STORE', '0xbcf320', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf388', -1, 0, 'set_insert_83']
['STORE', '0xbcf380', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf388', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf320', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf3e8', -1, 0, 'set_insert_83']
['STORE', '0xbcf3e0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf3e8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf380', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf388', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf320', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf328', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf2c0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf2c8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf260', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf268', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf110', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf118', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf448', -1, 0, 'set_insert_83']
['STORE', '0xbcf440', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf448', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf3e0', '0xbcf110', 0, 'set_insert_74']
['STORE', '0xbcf3e8', '0xbcf118', 0, 'set_insert_78']
['STORE', '0xbcf380', '0xbcf110', 0, 'set_insert_74']
