Threads: [{'140575247458944': 0, '140575239051008': 1, '140575247443712': 2}]
['STORE', '0x13a6650', -1, 0, 'createSkipList_90']
['STORE', '0x13a6658', -1, 0, 'createSkipList_91']
['STORE', '0x13a6658', '0x13a6658', 1, 'insert_108']
['STORE', '0x13a6650', '0x13a6650', 1, 'insert_114']
['STORE', '0x13a75b8', '0x13a75b8', 1, 'insert_115']
['STORE', '0x13a7640', '0x13a7640', 1, 'insert_115']
['STORE', '0x13a75b8', '0x13a75b8', 1, 'insert_122']
['STORE', '0x13a7640', '0x13a7640', 1, 'insert_122']
['STORE', '0x13a6650', '0x7fda2c006cb0', 1, 'insert_129']
['STORE', '0x13a6658', '0x13a6658', 2, 'insert_108']
['STORE', '0x13a75b8', '0x13a75b8', 1, 'insert_139']
['STORE', '0x13a7640', '0x13a7640', 1, 'insert_139']
['STORE', '0x7fda2c006cb8', '0x13a75b8', 1, 'insert_139']
['STORE', '0x7fda2c006d10', -1, 1, 'insert_139']
['STORE', '0x13a75b8', '0x7fda2c006d10', 1, 'insert_140']
['STORE', '0x13a7640', '0x7fda2c006d10', 1, 'insert_140']
['STORE', '0x13a6650', '0x13a6650', 2, 'insert_114']
['STORE', '0x13a75b8', '0x13a75b8', 2, 'insert_115']
['STORE', '0x13a7640', '0x13a7640', 2, 'insert_115']
['STORE', '0x13a75b8', '0x13a7640', 2, 'insert_115']
['STORE', '0x13a7640', '0x13a7640', 2, 'insert_115']
['STORE', '0x7fda2c006cb0', '0x13a7640', 2, 'insert_115']
['STORE', '0x13a75b8', '0x13a75b8', 2, 'insert_116']
['STORE', '0x13a7640', '0x13a7640', 2, 'insert_116']
['STORE', '0x7fda2c006cb8', '0x13a75b8', 2, 'insert_115']
['STORE', '0x7fda2c006d10', '0x13a7640', 2, 'insert_115']
['STORE', '0x7fda2c006cb8', '0x13a75b8', 2, 'insert_122']
['STORE', '0x7fda2c006d10', '0x13a7640', 2, 'insert_122']
['STORE', '0x13a6650', '0x7fda2c006cb0', 2, 'insert_129']
['STORE', '0x7fda2c006cb8', '0x13a75b8', 2, 'insert_139']
['STORE', '0x7fda2c006d10', '0x13a7640', 2, 'insert_139']
['STORE', '0x7fda34000fe8', '0x13a75b8', 2, 'insert_139']
['STORE', '0x7fda34001040', -1, 2, 'insert_139']
['STORE', '0x7fda2c006cb8', '0x7fda2c006d10', 2, 'insert_140']
['STORE', '0x7fda2c006d10', '0x7fda2c006d10', 2, 'insert_140']
['STORE', '0x13a6658', '0x13a6658', 1, 'delete_element_179']
['STORE', '0x13a6650', '0x13a6650', 1, 'delete_element_185']
['STORE', '0x13a75b8', '0x13a75b8', 1, 'delete_element_186']
