[2, 103, '0', '-1', '0', 'clevel_hash_294_x']
[3, 101, '0x7f38403c05d0', '-1', '0', 'compound_pool_ptr_61']
[4, 101, '0x7f38403c05e0', '0x7f38403c05d0', '0', 'p_75']
[5, 101, '0x7f38403c05d8', '-1', '0', 'clevel_hash_285']
[6, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'clevel_hash_294']
[7, 101, '0x7f38403c06e8', '-1', '0', 'operator=_99']
[8, 101, '0x7f38403c0650', '0x7f38403c06e8', '0', 'clevel_hash_300']
[9, 103, '0', '-1', '0', 'compound_pool_ptr_61_x']
[10, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'clevel_hash_305']
[11, 101, '0x7f38403c0768', '-1', '0', 'operator=_107']
[12, 101, '0x7f38403c0658', '0x7f38403c0768', '0', 'clevel_hash_306']
[13, 101, '0x7f38403c05d0', '0x7f38403c05d0', '0', 'clevel_hash_314']
[14, 101, '0x7f38403c0650', '0x7f38403c0650', '0', 'clevel_hash_314']
[15, 103, '0', '-1', '0', 'capacity_412_x']
[16, 101, '0x7f38403c06d0', '-1', '0', 'get_288']
[17, 102, '0x7f38403c06d0', '-1', '0', 'get_288_x']
[18, 101, '0x7f38403c06d8', '-1', '0', 'get_293']
[19, 102, '0x7f38403c06d8', '-1', '0', 'get_293_x']
[20, 101, '0x7f38403c2450', '-1', '0', 'clevel_hash_314']
[21, 101, '0x7f38403c0550', '-1', '0', 'operator=_206']
[22, 101, '0x7f38403c0558', '0x7f38403c0550', '0', 'operator=_206']
[23, 101, '0x7f38403c0550', '0x7f38403c0558', '0', 'get_288']
[24, 101, '0x7f38403c0558', '0x7f38403c0558', '0', 'get_293']
[25, 101, '0x7f38403c05f0', '0x7f38403c05f0', '1', 'load_419']
[26, 102, '0x7f38403c05f0', '-1', '1', 'load_419_x']
[27, 101, '0x7f38403c05d0', '0x7f38403c05f0', '1', 'resize_1439']
[28, 102, '0x7f38403c05d0', '-1', '1', 'resize_1439_x']
[29, 101, '0x7f38403c0658', '0x7f38403c0658', '1', 'resize_0']
[30, 102, '0x7f38403c0658', '-1', '1', 'resize_0_x']
[31, 101, '0x7f38403c0650', '0x7f38403c0650', '1', 'resize_1447']
[32, 102, '0x7f38403c0650', '-1', '1', 'resize_1447_x']
[33, 101, '0x7f38403c0768', '0x7f38403c0768', '1', 'resize_0']
[34, 101, '0x7f38403c05f8', '-1', '0', 'operator=_206']
[35, 101, '0x7f38403c0600', '0x7f38403c05f8', '0', 'operator=_206']
[36, 101, '0x7f38403c0608', '-1', '0', 'operator=_206']
