['Lock_2', 105, 'M1', -1, '0', 'clht_hashtable_create_269_x']
[2, 101, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_269']
['Fence_Lock_2', 103, 0, -1, '0', 'clht_hashtable_create_269_x']
['UnLock_2', 106, 'M1', -1, '0', 'clht_hashtable_create_269_x']
[3, 102, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_269_x']
[4, 103, '0', '-1', '0', 'clht_gc_free_225_x']
['Lock_3', 105, 'M1', -1, '0', 'clht_hashtable_create_270_x']
[5, 101, '0x7f0818253088', '0x7f0818253088', '0', 'clht_hashtable_create_270']
['Fence_Lock_3', 103, 0, -1, '0', 'clht_hashtable_create_270_x']
['UnLock_3', 106, 'M1', -1, '0', 'clht_hashtable_create_270_x']
[6, 102, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_270_x']
['Lock_4', 105, 'M1', -1, '0', 'clht_hashtable_create_277_x']
[7, 101, '0x7f0818253088', '0x7f0818253088', '0', 'clht_hashtable_create_277']
['Fence_Lock_4', 103, 0, -1, '0', 'clht_hashtable_create_277_x']
['UnLock_4', 106, 'M1', -1, '0', 'clht_hashtable_create_277_x']
[8, 102, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_277_x']
['Lock_9', 105, 'M1', -1, '0', 'clht_hashtable_create_282_x']
[9, 101, '0x7f0818253088', '0x7f0818253088', '0', 'clht_hashtable_create_282']
['Fence_Lock_9', 103, 0, -1, '0', 'clht_hashtable_create_282_x']
['UnLock_9', 106, 'M1', -1, '0', 'clht_hashtable_create_282_x']
[10, 102, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_282_x']
['Lock_13', 105, 'M1', -1, '0', 'clht_hashtable_create_286_x']
[11, 101, '0x7f0818253088', '0x7f0818253088', '0', 'clht_hashtable_create_286']
['Fence_Lock_13', 103, 0, -1, '0', 'clht_hashtable_create_286_x']
['UnLock_13', 106, 'M1', -1, '0', 'clht_hashtable_create_286_x']
[12, 102, '0x7f0818253088', '-1', '0', 'clht_hashtable_create_286_x']
[13, 101, '0x7f0818253080', '0x7f0818253088', '0', 'clht_hashtable_create_290']
[14, 102, '0x7f0818253080', '-1', '0', 'clht_create_244']
['Lock_5', 105, 'M1', -1, '0', 'clht_hashtable_create_291_x']
[15, 101, '0x7f0818253090', '0x7f0818253080', '0', 'clht_hashtable_create_291']
['Fence_Lock_5', 103, 0, -1, '0', 'clht_hashtable_create_291_x']
['UnLock_5', 106, 'M1', -1, '0', 'clht_hashtable_create_291_x']
[16, 102, '0x7f0818253090', '-1', '0', 'clht_hashtable_create_291_x']
['Lock_7', 105, 'M1', -1, '0', 'clht_hashtable_create_292_x']
[17, 101, '0x7f0818253098', '0x7f0818253090', '0', 'clht_hashtable_create_292']
['Fence_Lock_7', 103, 0, -1, '0', 'clht_hashtable_create_292_x']
['UnLock_7', 106, 'M1', -1, '0', 'clht_hashtable_create_292_x']
[18, 102, '0x7f0818253098', '-1', '0', 'clht_hashtable_create_292_x']
[19, 101, '0x7f08182530c0', '0x7f0818253098', '0', 'clht_hashtable_create_293']
[20, 102, '0x7f08182530c0', '-1', '0', 'clht_hashtable_create_293_x']
[21, 101, '0x7f08182530d0', '0x7f08182530c0', '0', 'clht_hashtable_create_294']
[22, 102, '0x7f08182530d0', '-1', '0', 'clht_hashtable_create_294_x']
[23, 101, '0x7f08182530c8', '0x7f08182530d0', '0', 'clht_hashtable_create_295']
[24, 102, '0x7f08182530c8', '-1', '0', 'clht_hashtable_create_295_x']
[25, 103, '0', '-1', '0', 'clht_hashtable_create_290_x']
[26, 101, '0x7f08182530d8', '0x7f08182530c8', '0', 'clht_hashtable_create_296']
[27, 102, '0x7f08182530d8', '-1', '0', 'clht_hashtable_create_296_x']
[28, 103, '0', '-1', '0', 'clht_hashtable_create_282_x']
[29, 103, '0', '-1', '0', 'clht_hashtable_create_269_x']
[30, 102, '0x7f081825d900', '-1', '0', 'clht_create_243']
[31, 101, '0x7f08182530dc', '0x7f08182530d8', '0', 'clht_hashtable_create_297']
[32, 102, '0x7f08182530dc', '-1', '0', 'clht_hashtable_create_297_x']
[33, 101, '0x7f08182530dc', '0x7f08182530dc', '0', 'clht_hashtable_create_298']
[34, 102, '0x7f08182530dc', '-1', '0', 'clht_hashtable_create_298_x']
[35, 101, '0x7f08182530e0', '0x7f08182530dc', '0', 'clht_hashtable_create_302']
[36, 102, '0x7f08182530e0', '-1', '0', 'clht_hashtable_create_302_x']
[37, 101, '0x7f08182530e4', '0x7f08182530e0', '0', 'clht_hashtable_create_303']
[38, 102, '0x7f08182530e4', '-1', '0', 'clht_hashtable_create_303_x']
[39, 103, '0', '-1', '0', 'clht_hashtable_create_270_x']
['Lock_10', 105, 'M1', -1, '0', 'clht_create_243_x']
[40, 101, '0x7f0818253088', '0x7f0818253088', '0', 'clht_create_243']
['Fence_Lock_10', 103, 0, -1, '0', 'clht_create_243_x']
['UnLock_10', 106, 'M1', -1, '0', 'clht_create_243_x']
[41, 102, '0x7f0818253088', '-1', '0', 'clht_create_243_x']
['Lock_8', 105, 'M1', -1, '1', 'clht_gc_thread_init_51_x']
[42, 101, '0x7f0818253098', '0x7f0818253098', '1', 'clht_gc_thread_init_51']
['Fence_Lock_8', 103, 0, -1, '1', 'clht_gc_thread_init_51_x']
['UnLock_8', 106, 'M1', -1, '1', 'clht_gc_thread_init_51_x']
[43, 102, '0x7f0818253098', '-1', '1', 'clht_gc_thread_init_51_x']
[44, 101, '0x7f0818253098', '0x7f0818253098', '2', 'clht_gc_thread_init_51']
['Lock_6', 105, 'M1', -1, '2', 'clht_hash_318_x']
[45, 101, '0x7f0818253090', '0x7f0818253090', '2', 'clht_hash_318']
['UnLock_6', 106, 'M1', -1, '2', 'clht_hash_318_x']
[46, 102, '0x7f0818253090', '-1', '2', 'clht_hash_318_x']
['Lock_0', 105, 'M1', -1, '2', 'clht_put_381_x']
[47, 101, '0x7f0818253088', '0x7f0818253088', '2', 'clht_put_381']
['Fence_Lock_0', 103, 0, -1, '2', 'clht_put_381_x']
['UnLock_0', 106, 'M1', -1, '2', 'clht_put_381_x']
[48, 102, '0x7f0818253088', '-1', '2', 'clht_put_381_x']
[49, 102, '0x7f081825daa0', '-1', '2', 'clht_put_449']
[50, 101, '0x7f0818253090', '0x7f0818253090', '1', 'clht_hash_318']
