['Lock_0', 105, 'M1', -1, '0', 'newNode_66_x']
[2, 101, '0xcfa9e0', '-1', '0', 'newNode_66']
['Fence_Lock_0', 103, 0, -1, '0', 'newNode_66_x']
['UnLock_0', 106, 'M1', -1, '0', 'newNode_66_x']
[3, 102, '0xcfa9e0', '-1', '0', 'newNode_66_x']
['Lock_3', 105, 'M1', -1, '0', 'deque_push_back_102_x']
[4, 101, '0xcfaae0', '-1', '0', 'deque_push_back_102']
['Fence_Lock_3', 103, 0, -1, '0', 'deque_push_back_102_x']
['UnLock_3', 106, 'M1', -1, '0', 'deque_push_back_102_x']
[5, 102, '0xcfaae0', '-1', '0', 'deque_push_back_102_x']
[6, 101, '0xcfa9e8', '0xcfaae0', '0', 'deque_push_back_103']
[7, 102, '0xcfa9e8', '-1', '0', 'deque_push_back_103_x']
[8, 103, '0', '-1', '0', 'deque_push_back_103_x']
[9, 101, '0xcfaba0', '-1', '0', 'deque_push_back_102']
[10, 101, '0xcfaad8', '0xcfaae0', '0', 'deque_push_back_103']
[11, 101, '0xcfac00', '-1', '0', 'deque_push_back_102']
[12, 101, '0xcfab98', '0xcfaae0', '0', 'deque_push_back_103']
[13, 101, '0xcfac60', '-1', '0', 'deque_push_back_102']
[14, 101, '0xcfabf8', '0xcfaae0', '0', 'deque_push_back_103']
[15, 101, '0xcfacc0', '-1', '0', 'deque_push_back_102']
[16, 101, '0xcfac58', '0xcfaae0', '0', 'deque_push_back_103']
[17, 101, '0xcfad20', '-1', '0', 'deque_push_back_102']
[18, 101, '0xcfacb8', '0xcfaae0', '0', 'deque_push_back_103']
[19, 101, '0xcfad80', '-1', '0', 'deque_push_back_102']
[20, 101, '0xcfad18', '0xcfaae0', '0', 'deque_push_back_103']
[21, 101, '0xcfade0', '-1', '0', 'deque_push_back_102']
[22, 101, '0xcfad78', '0xcfaae0', '0', 'deque_push_back_103']
[23, 101, '0xcfae40', '-1', '0', 'deque_push_back_102']
[24, 101, '0xcfadd8', '0xcfaae0', '0', 'deque_push_back_103']
['Lock_1', 105, 'M1', -1, '1', 'deque_pop_front_119_x']
[25, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_front_119']
['Fence_Lock_1', 103, 0, -1, '1', 'deque_pop_front_119_x']
['UnLock_1', 106, 'M1', -1, '1', 'deque_pop_front_119_x']
[26, 102, '0xcfa9e0', '-1', '1', 'deque_pop_front_119_x']
['Lock_15', 105, 'M1', -1, '1', 'deque_pop_front_121_x']
[27, 101, '0xcfa9e8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
['Fence_Lock_15', 103, 0, -1, '1', 'deque_pop_front_121_x']
['UnLock_15', 106, 'M1', -1, '1', 'deque_pop_front_121_x']
[28, 102, '0xcfa9e8', '-1', '1', 'deque_pop_front_121_x']
['Lock_6', 105, 'M1', -1, '1', 'deque_pop_front_126_x']
[29, 101, '0xcfaae0', '0xcfa9e8', '1', 'deque_pop_front_126']
['Fence_Lock_6', 103, 0, -1, '1', 'deque_pop_front_126_x']
['UnLock_6', 106, 'M1', -1, '1', 'deque_pop_front_126_x']
[30, 102, '0xcfaae0', '-1', '1', 'deque_pop_front_126_x']
[31, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_front_119']
['Lock_11', 105, 'M1', -1, '2', 'deque_pop_front_121_x']
[32, 101, '0xcfaad8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
['UnLock_11', 106, 'M1', -1, '2', 'deque_pop_front_121_x']
[33, 101, '0xcfaba0', '0xcfa9e8', '2', 'deque_pop_front_126']
[34, 101, '0xcfaae0', '-1', '2', 'deque_push_back_102']
['Lock_9', 105, 'M1', -1, '2', 'deque_push_back_103_x']
[35, 101, '0xcfae38', '0xcfaae0', '2', 'deque_push_back_103']
['Fence_Lock_9', 103, 0, -1, '2', 'deque_push_back_103_x']
['UnLock_9', 106, 'M1', -1, '2', 'deque_push_back_103_x']
[36, 101, '0xcfa9f0', '-1', '1', 'deque_push_back_102']
[37, 101, '0xcfaad8', '0xcfaae0', '1', 'deque_push_back_103']
['Lock_12', 105, 'M1', -1, '1', 'deque_push_front_86_x']
[38, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
['Fence_Lock_12', 103, 0, -1, '1', 'deque_push_front_86_x']
['UnLock_12', 106, 'M1', -1, '1', 'deque_push_front_86_x']
[39, 102, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86_x']
['Lock_16', 105, 'M1', -1, '1', 'deque_push_front_87_x']
[40, 101, '0xcfaba0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
['Fence_Lock_16', 103, 0, -1, '1', 'deque_push_front_87_x']
['UnLock_16', 106, 'M1', -1, '1', 'deque_push_front_87_x']
[41, 102, '0xcfaba0', '-1', '1', 'deque_push_front_87_x']
[42, 101, '0x7f92040024f8', '-1', '2', 'deque_push_front_86']
[43, 101, '0x7f91fc0045e0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
['Lock_2', 105, 'M1', -1, '1', 'deque_pop_back_143_x']
[44, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_back_143']
['Fence_Lock_2', 103, 0, -1, '1', 'deque_pop_back_143_x']
['UnLock_2', 106, 'M1', -1, '1', 'deque_pop_back_143_x']
[45, 102, '0xcfa9e0', '-1', '1', 'deque_pop_back_143_x']
[46, 103, '0', '-1', '1', 'deque_pop_front_126_x']
['Lock_4', 105, 'M1', -1, '1', 'deque_pop_back_145_x']
[47, 101, '0xcfa9f0', '0xcfaae0', '1', 'deque_pop_back_145']
['UnLock_4', 106, 'M1', -1, '1', 'deque_pop_back_145_x']
[48, 102, '0xcfa9f0', '-1', '1', 'deque_pop_back_145_x']
['Lock_13', 105, 'M1', -1, '1', 'deque_pop_back_150_x']
[49, 101, '0xcfaad8', '0xcfa9f0', '1', 'deque_pop_back_150']
['Fence_Lock_13', 103, 0, -1, '1', 'deque_pop_back_150_x']
['UnLock_13', 106, 'M1', -1, '1', 'deque_pop_back_150_x']
[50, 102, '0xcfaad8', '-1', '1', 'deque_pop_back_150_x']
['Lock_8', 105, 'M1', -1, '2', 'deque_pop_back_143_x']
[51, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
['UnLock_8', 106, 'M1', -1, '2', 'deque_pop_back_143_x']
['Lock_7', 105, 'M1', -1, '2', 'deque_pop_back_145_x']
[52, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
['UnLock_7', 106, 'M1', -1, '2', 'deque_pop_back_145_x']
[53, 101, '0xcfae38', '0xcfa9f0', '2', 'deque_pop_back_150']
[54, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_front_119']
[55, 101, '0x7f92040024f8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[56, 101, '0x7f91fc0045e0', '0xcfa9e8', '1', 'deque_pop_front_126']
[57, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[58, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[59, 101, '0xcfaba0', '0xcfa9e8', '2', 'deque_pop_front_126']
[60, 101, '0x7f9204002500', '-1', '1', 'deque_push_back_102']
[61, 101, '0xcfae38', '0xcfaae0', '1', 'deque_push_back_103']
[62, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[63, 101, '0x7f92040024f8', '0xcfaae0', '2', 'deque_push_back_103']
[64, 101, '0xcfa9e8', '-1', '1', 'deque_push_front_86']
[65, 101, '0xcfaba0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[66, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
[67, 101, '0xcfa9f0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[68, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[69, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[70, 101, '0x7f92040024f8', '0xcfa9f0', '1', 'deque_pop_back_150']
[71, 101, '0x7f92040024f0', '0xcfa9e0', '2', 'deque_pop_back_143']
[72, 101, '0x7f9204002500', '0xcfaae0', '2', 'deque_pop_back_145']
[73, 101, '0xcfae38', '0xcfa9f0', '2', 'deque_pop_back_150']
[74, 101, '0xcfaad0', '0xcfa9e0', '1', 'deque_pop_front_119']
[75, 101, '0xcfaad8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[76, 101, '0xcfa9f0', '0xcfa9e8', '1', 'deque_pop_front_126']
[77, 101, '0xcfaae0', '-1', '1', 'deque_push_back_102']
[78, 101, '0xcfae38', '0xcfaae0', '1', 'deque_push_back_103']
[79, 101, '0xcfa9e0', '0xcfa9e0', '2', 'deque_pop_front_119']
[80, 101, '0xcfa9e8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[81, 101, '0xcfaba0', '0xcfa9e8', '2', 'deque_pop_front_126']
[82, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
[83, 101, '0xcfaba0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[84, 101, '0xcfa9f0', '-1', '2', 'deque_push_back_102']
[85, 101, '0xcfaad8', '0xcfaae0', '2', 'deque_push_back_103']
[86, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_back_143']
[87, 101, '0xcfa9f0', '0xcfaae0', '1', 'deque_pop_back_145']
[88, 101, '0xcfaad8', '0xcfa9f0', '1', 'deque_pop_back_150']
[89, 101, '0x7f92040024f8', '-1', '2', 'deque_push_front_86']
[90, 101, '0x7f91fc0045e0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[91, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_front_119']
[92, 101, '0x7f92040024f8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[93, 101, '0x7f91fc0045e0', '0xcfa9e8', '1', 'deque_pop_front_126']
[94, 101, '0xcfaad0', '0xcfa9e0', '2', 'deque_pop_back_143']
[95, 101, '0xcfaae0', '0xcfaae0', '2', 'deque_pop_back_145']
[96, 101, '0xcfae38', '0xcfa9f0', '2', 'deque_pop_back_150']
[97, 101, '0x7f9204002500', '-1', '1', 'deque_push_back_102']
[98, 101, '0xcfae38', '0xcfaae0', '1', 'deque_push_back_103']
[99, 101, '0x7f91fc0045d0', '0xcfa9e0', '2', 'deque_pop_front_119']
[100, 101, '0x7f91fc0045d8', '0x7f91fc0045d8', '2', 'deque_pop_front_121']
[101, 101, '0xcfaba0', '0xcfa9e8', '2', 'deque_pop_front_126']
[102, 101, '0xcfa9e8', '-1', '1', 'deque_push_front_86']
[103, 101, '0xcfaba0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[104, 101, '0x7f91fc0045e0', '-1', '2', 'deque_push_back_102']
[105, 101, '0x7f92040024f8', '0xcfaae0', '2', 'deque_push_back_103']
[106, 101, '0x7f91fc0045d0', '0xcfa9e0', '1', 'deque_pop_back_143']
[107, 101, '0x7f91fc0045e0', '0xcfaae0', '1', 'deque_pop_back_145']
[108, 101, '0x7f92040024f8', '0xcfa9f0', '1', 'deque_pop_back_150']
[109, 101, '0xcfa9e0', '0xcfa9e0', '1', 'deque_pop_front_119']
[110, 101, '0xcfa9e8', '0x7f91fc0045d8', '1', 'deque_pop_front_121']
[111, 101, '0xcfaba0', '0xcfa9e8', '1', 'deque_pop_front_126']
[112, 101, '0xcfaad8', '-1', '2', 'deque_push_front_86']
[113, 101, '0xcfaba0', '0x7f91fc0045d8', '2', 'deque_push_front_87']
[114, 101, '0xcfa9f0', '-1', '1', 'deque_push_back_102']
[115, 101, '0x7f92040024f8', '0xcfaae0', '1', 'deque_push_back_103']
[116, 101, '0x7f91fc0045d8', '-1', '1', 'deque_push_front_86']
[117, 101, '0xcfaae0', '0x7f91fc0045d8', '1', 'deque_push_front_87']
[118, 101, '0xcfa9e0', '0xcfa9e0', '2', 'deque_pop_back_143']
[119, 101, '0xcfa9f0', '0xcfaae0', '2', 'deque_pop_back_145']
[120, 101, '0x7f92040024f8', '0xcfa9f0', '2', 'deque_pop_back_150']
[121, 101, '0x7f92040024f0', '0xcfa9e0', '1', 'deque_pop_back_143']
