[2, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[3, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[4, 102, '0x112a6d6', '-1', '0', 'count_188_x']
['Lock_5', 105, 'M1', -1, '0', 'count_190_x']
[5, 101, '0x112a6e8', '0x112a708', '0', 'count_190']
['Fence_Lock_5', 103, 0, -1, '0', 'count_190_x']
['UnLock_5', 106, 'M1', -1, '0', 'count_190_x']
[6, 102, '0x112a6e8', '-1', '0', 'count_190_x']
[7, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[8, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
['Lock_0', 105, 'M1', -1, '0', 'insert_key_507_x']
[9, 101, '0x112a6e0', '-1', '0', 'insert_key_507']
[10, 102, '0x112a6e0', '-1', '0', 'insert_key_559']
[11, 101, '0x112a6e8', '0x112a6e0', '0', 'insert_key_508']
['Fence_Lock_0', 103, 0, -1, '0', 'insert_key_507_x']
['UnLock_0', 106, 'M1', -1, '0', 'insert_key_507_x']
[12, 102, '0x112a6e8', '-1', '0', 'insert_key_508_x']
['Lock_2', 105, 'M1', -1, '0', 'insert_key_510_x']
[13, 101, '0x112a6f8', '0x112a6e8', '0', 'insert_key_510']
['Fence_Lock_2', 103, 0, -1, '0', 'insert_key_510_x']
['UnLock_2', 106, 'M1', -1, '0', 'insert_key_510_x']
[14, 102, '0x112a6f8', '-1', '0', 'insert_key_510_x']
['Lock_22', 105, 'M1', -1, '0', 'insert_key_564_x']
[15, 101, '0x112a6d6', '-1', '0', 'insert_key_564']
['Fence_Lock_22', 103, 0, -1, '0', 'insert_key_564_x']
['UnLock_22', 106, 'M1', -1, '0', 'insert_key_564_x']
[16, 102, '0x112a6d6', '-1', '0', 'insert_key_564_x']
[17, 101, '0x112a6d4', '0x112a6d4', '0', 'count_187']
[18, 101, '0x112a6d6', '0x112a6d4', '0', 'count_188']
[19, 101, '0x112a6f8', '0x112a708', '0', 'count_190']
[20, 101, '0x112a6d4', '0x112a6d4', '0', 'count_204']
[21, 101, '0x112a6d4', '-1', '0', 'insert_key_500']
['Lock_24', 105, 'M1', -1, '0', 'insert_key_517_x']
[22, 101, '0x112a6f8', '0x112a708', '0', 'insert_key_517']
['Fence_Lock_24', 103, 0, -1, '0', 'insert_key_517_x']
