['Lock_0', 105, 'M1', -1, '0', 'insert_112_x']
[2, 101, '0x7fdb680014b0', '-1', '0', 'insert_112']
['Fence_Lock_0', 103, 0, -1, '0', 'insert_112_x']
['UnLock_0', 106, 'M1', -1, '0', 'insert_112_x']
[3, 102, '0x7fdb680014b0', '-1', '0', 'insert_112_x']
[4, 103, '0', '-1', '0', 'insert_113_x']
[5, 103, '0', '-1', '0', 'insert_114_x']
['Lock_5', 105, 'M1', -1, '0', 'insert_113_x']
[6, 101, '0x7fdb680014b4', '0x7fdb680014b0', '0', 'insert_113']
['Fence_Lock_5', 103, 0, -1, '0', 'insert_113_x']
['UnLock_5', 106, 'M1', -1, '0', 'insert_113_x']
[7, 102, '0x7fdb680014b4', '-1', '0', 'insert_113_x']
['Lock_6', 105, 'M1', -1, '0', 'insert_114_x']
[8, 101, '0x7fdb680014b8', '0x7fdb680014b4', '0', 'insert_114']
['Fence_Lock_6', 103, 0, -1, '0', 'insert_114_x']
['UnLock_6', 106, 'M1', -1, '0', 'insert_114_x']
[9, 102, '0x7fdb680014b8', '-1', '0', 'insert_114_x']
[10, 101, '0x7fdb70002af0', '-1', '1', 'insert_112']
['Lock_1', 105, 'M1', -1, '1', 'insert_113_x']
[11, 101, '0x7fdb70002af4', '0x7fdb680014b0', '1', 'insert_113']
['UnLock_1', 106, 'M1', -1, '1', 'insert_113_x']
['Lock_11', 105, 'M1', -1, '1', 'insert_114_x']
[12, 101, '0x7fdb70002af8', '0x7fdb680014b4', '1', 'insert_114']
['UnLock_11', 106, 'M1', -1, '1', 'insert_114_x']
[13, 101, '0x7fdb680025b0', '-1', '0', 'insert_112']
[14, 101, '0x7fdb680025b4', '0x7fdb680014b0', '0', 'insert_113']
[15, 101, '0x7fdb680025b8', '0x7fdb680014b4', '0', 'insert_114']
[16, 101, '0x7fdb70002b50', '-1', '1', 'insert_112']
[17, 101, '0x7fdb70002b54', '0x7fdb680014b0', '1', 'insert_113']
[18, 101, '0x7fdb70002b58', '0x7fdb680014b4', '1', 'insert_114']
[19, 101, '0x7fdb68002610', '-1', '0', 'insert_112']
[20, 101, '0x7fdb68002614', '0x7fdb680014b0', '0', 'insert_113']
[21, 101, '0x7fdb68002618', '0x7fdb680014b4', '0', 'insert_114']
[22, 101, '0x7fdb70002bb0', '-1', '1', 'insert_112']
[23, 101, '0x7fdb70002bb4', '0x7fdb680014b0', '1', 'insert_113']
[24, 101, '0x7fdb70002bb8', '0x7fdb680014b4', '1', 'insert_114']
[25, 101, '0x7fdb68002670', '-1', '0', 'insert_112']
[26, 101, '0x7fdb68002674', '0x7fdb680014b0', '0', 'insert_113']
[27, 101, '0x7fdb68002678', '0x7fdb680014b4', '0', 'insert_114']
[28, 101, '0x7fdb70002c10', '-1', '1', 'insert_112']
[29, 101, '0x7fdb70002c14', '0x7fdb680014b0', '1', 'insert_113']
[30, 101, '0x7fdb70002c18', '0x7fdb680014b4', '1', 'insert_114']
[31, 101, '0x7fdb680026d0', '-1', '0', 'insert_112']
[32, 101, '0x7fdb680026d4', '0x7fdb680014b0', '0', 'insert_113']
[33, 101, '0x7fdb680026d8', '0x7fdb680014b4', '0', 'insert_114']
[34, 101, '0x7fdb70002c70', '-1', '1', 'insert_112']
[35, 101, '0x7fdb70002c74', '0x7fdb680014b0', '1', 'insert_113']
[36, 101, '0x7fdb70002c78', '0x7fdb680014b4', '1', 'insert_114']
[37, 101, '0x7fdb68002730', '-1', '0', 'insert_112']
[38, 101, '0x7fdb68002734', '0x7fdb680014b0', '0', 'insert_113']
[39, 101, '0x7fdb68002738', '0x7fdb680014b4', '0', 'insert_114']
[40, 101, '0x7fdb70002cd0', '-1', '1', 'insert_112']
[41, 101, '0x7fdb70002cd4', '0x7fdb680014b0', '1', 'insert_113']
[42, 101, '0x7fdb70002cd8', '0x7fdb680014b4', '1', 'insert_114']
[43, 101, '0x7fdb68002790', '-1', '0', 'insert_112']
[44, 101, '0x7fdb68002794', '0x7fdb680014b0', '0', 'insert_113']
[45, 101, '0x7fdb68002798', '0x7fdb680014b4', '0', 'insert_114']
[46, 101, '0x7fdb70002d30', '-1', '1', 'insert_112']
[47, 101, '0x7fdb70002d34', '0x7fdb680014b0', '1', 'insert_113']
[48, 101, '0x7fdb70002d38', '0x7fdb680014b4', '1', 'insert_114']
[49, 101, '0x7fdb680027f0', '-1', '0', 'insert_112']
[50, 101, '0x7fdb680027f4', '0x7fdb680014b0', '0', 'insert_113']
[51, 101, '0x7fdb680027f8', '0x7fdb680014b4', '0', 'insert_114']
[52, 101, '0x7fdb70002d90', '-1', '1', 'insert_112']
[53, 101, '0x7fdb70002d94', '0x7fdb680014b0', '1', 'insert_113']
[54, 101, '0x7fdb70002d98', '0x7fdb680014b4', '1', 'insert_114']
[55, 101, '0x7fdb68002850', '-1', '0', 'insert_112']
[56, 101, '0x7fdb68002854', '0x7fdb680014b0', '0', 'insert_113']
[57, 101, '0x7fdb68002858', '0x7fdb680014b4', '0', 'insert_114']
[58, 101, '0x7fdb70002df0', '-1', '1', 'insert_112']
