['Lock_0', 105, 'M1', -1, 3, 'thread1_function_18_x']
[2, 101, '0x999850', '-1', 3, 'thread1_function_18']
[3, 102, '0x999850', '-1', 3, 'thread1_function_18_x']
[4, 103, '0', '-1', 3, 'thread1_function_18_x']
['UnLock_0', 106, 'M1', -1, 3, 'thread1_function_18_x']
['Lock_1', 105, 'M1', -1, 4, 'thread2_function_24_x']
[5, 101, '0x999850', '0x999850', 4, 'thread2_function_24']
['UnLock_1', 106, 'M1', -1, 4, 'thread2_function_24_x']
[6, 102, '0x999850', '-1', 4, 'thread2_function_24_x']
[7, 101, '0x9998b0', '-1', 4, 'thread2_function_24']
[8, 102, '0x9998b0', '-1', 4, '25']
[9, 103, '0', '-1', 4, '26']
[10, 103, '0', '-1', '1', 'thread2_function_24_x']
