['Lock_0', 105, 'M1', -1, '0', 'enqueue_21_x']
[2, 101, '0x7f43b0002c80', '-1', '0', 'enqueue_21']
['Fence_Lock_0', 103, 0, -1, '0', 'enqueue_21_x']
['UnLock_0', 106, 'M1', -1, '0', 'enqueue_21_x']
[3, 102, '0x7f43b0002c80', '-1', '0', 'enqueue_21_x']
['Lock_2', 105, 'M1', -1, '0', 'enqueue_22_x']
[4, 101, '0x7f43b0002c88', '0x7f43b0002c80', '0', 'enqueue_22']
['Fence_Lock_2', 103, 0, -1, '0', 'enqueue_22_x']
['UnLock_2', 106, 'M1', -1, '0', 'enqueue_22_x']
[5, 102, '0x7f43b0002c88', '-1', '0', 'enqueue_22_x']
[6, 101, '0x7f43a8000fe0', '-1', '1', 'enqueue_21']
[7, 101, '0x7f43a8000fe8', '0x7f43b0002c80', '1', 'enqueue_22']
[8, 103, '0', '-1', '1', 'enqueue_29_x']
['Lock_4', 105, 'M1', -1, '1', 'enqueue_29_x']
[9, 101, '0x7f43b0002c88', '-1', '1', 'enqueue_29']
['Fence_Lock_4', 103, 0, -1, '1', 'enqueue_29_x']
['UnLock_4', 106, 'M1', -1, '1', 'enqueue_29_x']
[10, 102, '0x7f43b0002c88', '-1', '1', 'enqueue_29_x']
[11, 101, '0x7f43b0003d50', '-1', '0', 'enqueue_21']
[12, 101, '0x7f43b0003d58', '0x7f43b0002c80', '0', 'enqueue_22']
[13, 101, '0x7f43a8000fe8', '-1', '0', 'enqueue_29']
[14, 101, '0x7f43a8001070', '-1', '1', 'enqueue_21']
[15, 101, '0x7f43a8001078', '0x7f43b0002c80', '1', 'enqueue_22']
[16, 101, '0x7f43b0003d58', '-1', '1', 'enqueue_29']
[17, 101, '0x7f43b0003db0', '-1', '0', 'enqueue_21']
[18, 101, '0x7f43b0003db8', '0x7f43b0002c80', '0', 'enqueue_22']
[19, 101, '0x7f43a8001078', '-1', '0', 'enqueue_29']
[20, 101, '0x7f43a80010d0', '-1', '1', 'enqueue_21']
[21, 101, '0x7f43a80010d8', '0x7f43b0002c80', '1', 'enqueue_22']
[22, 101, '0x7f43b0003db8', '-1', '1', 'enqueue_29']
[23, 101, '0x7f43a8001130', '-1', '1', 'enqueue_21']
[24, 101, '0x7f43a8001138', '0x7f43b0002c80', '1', 'enqueue_22']
[25, 101, '0x7f43a80010d8', '-1', '1', 'enqueue_29']
[26, 101, '0x7f43b0003e10', '-1', '0', 'enqueue_21']
[27, 101, '0x7f43b0003e18', '0x7f43b0002c80', '0', 'enqueue_22']
[28, 101, '0x7f43a8001138', '-1', '0', 'enqueue_29']
[29, 101, '0x7f43a8001190', '-1', '1', 'enqueue_21']
[30, 101, '0x7f43a8001198', '0x7f43b0002c80', '1', 'enqueue_22']
[31, 101, '0x7f43b0003e18', '-1', '1', 'enqueue_29']
[32, 101, '0x7f43a80011f0', '-1', '1', 'enqueue_21']
[33, 101, '0x7f43a80011f8', '0x7f43b0002c80', '1', 'enqueue_22']
[34, 101, '0x7f43a8001198', '-1', '1', 'enqueue_29']
[35, 101, '0x7f43b0003e70', '-1', '0', 'enqueue_21']
[36, 101, '0x7f43b0003e78', '0x7f43b0002c80', '0', 'enqueue_22']
[37, 101, '0x7f43a80011f8', '-1', '0', 'enqueue_29']
[38, 101, '0x7f43b0003ed0', '-1', '0', 'enqueue_21']
[39, 101, '0x7f43b0003ed8', '0x7f43b0002c80', '0', 'enqueue_22']
[40, 101, '0x7f43b0003e78', '-1', '0', 'enqueue_29']
[41, 101, '0x7f43a8001250', '-1', '1', 'enqueue_21']
[42, 101, '0x7f43a8001258', '0x7f43b0002c80', '1', 'enqueue_22']
[43, 101, '0x7f43b0003ed8', '-1', '1', 'enqueue_29']
[44, 101, '0x7f43a80012b0', '-1', '1', 'enqueue_21']
[45, 103, '0', '-1', '1', 'enqueue_29_x']
