['Lock_2', 105, 'M1', -1, '0', 'newNode_56_x']
[2, 101, '0x1538110', '-1', '0', 'newNode_56']
['Fence_Lock_2', 103, 0, -1, '0', 'newNode_56_x']
['UnLock_2', 106, 'M1', -1, '0', 'newNode_56_x']
[3, 102, '0x1538110', '-1', '0', 'newNode_56_x']
['Lock_6', 105, 'M1', -1, '0', 'set_insert_83_x']
[4, 101, '0x1538118', '-1', '0', 'set_insert_83']
['Fence_Lock_6', 103, 0, -1, '0', 'set_insert_83_x']
['UnLock_6', 106, 'M1', -1, '0', 'set_insert_83_x']
[5, 102, '0x1538118', '-1', '0', 'set_insert_83_x']
[6, 103, '0', '-1', '0', 'set_insert_74_x']
['Lock_0', 105, 'M1', -1, '0', 'set_insert_74_x']
[7, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
['Fence_Lock_0', 103, 0, -1, '0', 'set_insert_74_x']
['UnLock_0', 106, 'M1', -1, '0', 'set_insert_74_x']
[8, 102, '0x1538110', '-1', '0', 'set_insert_74_x']
[9, 103, '0', '-1', '0', 'set_insert_83_x']
[10, 103, '0', '-1', '0', 'newNode_56_x']
['Lock_3', 105, 'M1', -1, '0', 'set_insert_78_x']
[11, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
['Fence_Lock_3', 103, 0, -1, '0', 'set_insert_78_x']
['UnLock_3', 106, 'M1', -1, '0', 'set_insert_78_x']
[12, 102, '0x1538118', '-1', '0', 'set_insert_78_x']
[13, 103, '0', '-1', '0', 'set_insert_83_x']
[14, 101, '0x1538268', '-1', '0', 'set_insert_83']
[15, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[16, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[17, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[18, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[19, 101, '0x15382c8', '-1', '0', 'set_insert_83']
[20, 101, '0x15382c0', '0x1538110', '0', 'set_insert_74']
[21, 101, '0x15382c8', '0x1538110', '0', 'set_insert_78']
[22, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[23, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[24, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[25, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[26, 101, '0x1538328', '-1', '0', 'set_insert_83']
[27, 101, '0x1538320', '0x1538110', '0', 'set_insert_74']
[28, 101, '0x1538328', '0x1538110', '0', 'set_insert_78']
[29, 101, '0x15382c0', '0x1538110', '0', 'set_insert_74']
[30, 101, '0x15382c8', '0x1538110', '0', 'set_insert_78']
[31, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[32, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[33, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[34, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[35, 101, '0x1538388', '-1', '0', 'set_insert_83']
[36, 101, '0x1538380', '0x1538110', '0', 'set_insert_74']
[37, 101, '0x1538388', '0x1538110', '0', 'set_insert_78']
[38, 101, '0x1538320', '0x1538110', '0', 'set_insert_74']
[39, 101, '0x1538328', '0x1538110', '0', 'set_insert_78']
[40, 101, '0x15382c0', '0x1538110', '0', 'set_insert_74']
[41, 101, '0x15382c8', '0x1538110', '0', 'set_insert_78']
[42, 101, '0x1538260', '0x1538110', '0', 'set_insert_74']
[43, 101, '0x1538268', '0x1538110', '0', 'set_insert_78']
[44, 101, '0x1538110', '0x1538110', '0', 'set_insert_74']
[45, 101, '0x1538118', '0x1538110', '0', 'set_insert_78']
[46, 101, '0x15383e8', '-1', '0', 'set_insert_83']
[47, 101, '0x15383e0', '0x1538110', '0', 'set_insert_74']
[48, 101, '0x15383e8', '0x1538110', '0', 'set_insert_78']
[49, 101, '0x1538380', '0x1538110', '0', 'set_insert_74']
[50, 101, '0x1538388', '0x1538110', '0', 'set_insert_78']
[51, 101, '0x1538320', '0x1538110', '0', 'set_insert_74']
[52, 101, '0x1538328', '0x1538110', '0', 'set_insert_78']
