Threads: [{'139837596534528': 0, '139837604927232': 1, '139837579749120': 2, '139837588141824': 3, '139837604942464': 4}]
[101, "'0xbc6850'", '-1', 0, 'insert_117']
[102, "'0xbc6850'", -1, 0, 'insert_117_x']
[101, "'0xbc6854'", '-1', 1, 'insert_117']
[101, "'0xbc6858'", '-1', 2, 'insert_117']
[101, "'0xbc685c'", '-1', 3, 'insert_117']
[101, "'0xbc6854'", "'0xbc6850'", 0, 'get_152']
[102, "'0xbc6854'", -1, 0, 'get_152_x']
[101, "'0xbc6858'", "'0xbc6850'", 1, 'get_152']
[101, "'0xbc685c'", "'0xbc6850'", 3, 'get_152']
[101, "'0xbc6860'", '-1', 1, 'insert_117']
[101, "'0xbc6864'", '-1', 0, 'insert_117']
[103, '0', -1, 0, 'insert_117_x']
[103, '0', -1, 0, 'get_152_x']
[101, "'0xbc6868'", '-1', 3, 'insert_117']
[101, "'0xbc685c'", "'0xbc6850'", 2, 'get_152']
[101, "'0xbc686c'", '-1', 2, 'insert_117']
[101, "'0xbc6850'", "'0xbc6850'", 4, 'display_233']
[102, "'0xbc6850'", -1, 4, 'display_233_x']
[101, "'0xbc6854'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc6858'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc685c'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc6860'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc6864'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc6868'", "'0xbc6850'", 4, 'display_233']
[101, "'0xbc686c'", "'0xbc6850'", 4, 'display_233']
[103, '0', -1, 4, 'display_233_x']
