Threads: [{'140229832783936': 0, '140229730092800': 1, '140229704914688': 2, '140229755270912': 3}]
[101, "'0x7ffe679d1580'", '-1', 0, '_0']
[101, "'0x7ffe679d1570'", '-1', 0, '_0']
[101, "'0x7ffe679d1560'", '-1', 0, '_0']
[101, "'0x7ffe679d1560'", "'0x7ffe679d1560'", 0, 'event_handler_5814']
[101, "'0x7ffe679d1550'", '-1', 0, 'event_handler_5814']
[101, "'0x7ffe679d1570'", "'0x7ffe679d1570'", 0, 'event_handler_5817']
[101, "'0x7ffe679d1550'", "'0x7ffe679d1550'", 0, 'event_handler_5817']
[101, "'0x7ffe679d1580'", "'0x7ffe679d1580'", 0, 'event_handler_5820']
[101, "'0x7ffe679d1550'", "'0x7ffe679d1550'", 0, 'event_handler_5820']
[101, "'0x7ffe679d1550'", "'0x7ffe679d1550'", 0, 'event_handler_5827']
[101, "'0x7ffe679d0e00'", '-1', 0, '_0']
[101, "'0x7ffe679d0df0'", '-1', 0, 'drive_machine_5425']
[101, "'0x7ffe679d0d40'", '-1', 0, 'drive_machine_5429']
[101, "'0x7ffe679d0df0'", "'0x7ffe679d0df0'", 0, 'drive_machine_5440']
[101, "'0x7ffe679d0e00'", "'0x7ffe679d0e00'", 0, 'drive_machine_5442']
[101, "'0x7ffe679d0dd0'", '-1', 0, 'drive_machine_5444']
[101, "'0x7ffe679d0e00'", "'0x7ffe679d0e00'", 0, 'drive_machine_5447']
[101, "'0x7ffe679d0d10'", '-1', 0, 'drive_machine_5447']
[101, "'0x7ffe679d0d10'", "'0x7ffe679d0d10'", 0, 'drive_machine_5447']
[101, "'0x7ffe679d0de0'", '-1', 0, 'drive_machine_5447']
[101, "'0x7ffe679d0de0'", "'0x7ffe679d0de0'", 0, 'drive_machine_5454']
[101, "'0x7ffe679d0de0'", "'0x7ffe679d0de0'", 0, 'drive_machine_5491']
[101, "'0x7ffe679d0e00'", "'0x7ffe679d0e00'", 0, 'drive_machine_5492']
[101, "'0x7ffe679d0df0'", '-1', 0, 'drive_machine_5495']
[101, "'0x7ffe679d0df0'", "'0x7ffe679d0df0'", 0, 'drive_machine_5440']
[101, "'0x7ffe679d1580'", '-1', 0, '_0']
[101, "'0x7ffe679d1570'", '-1', 0, '_0']
[101, "'0x7ffe679d1560'", '-1', 0, '_0']
[101, "'0x7ffe679d1560'", "'0x7ffe679d1560'", 0, 'event_handler_5814']
[101, "'0x7ffe679d1550'", '-1', 0, 'event_handler_5814']
[101, "'0x7ffe679d1570'", "'0x7ffe679d1570'", 0, 'event_handler_5817']
