Threads: [{'139633224864384': 0, '139633224849152': 1, '139633216456448': 2}]
[101, "'0xfa1210'", '-1', 0, 'newNode_76']
[102, "'0xfa1210'", -1, 0, 'newNode_76_x']
[101, "'0xfa1218'", "'0xfa1214'", 0, 'pq_insert_96']
[102, "'0xfa1218'", -1, 0, 'pq_insert_96_x']
[103, '0', -1, 0, 'newNode_76_x']
[103, '0', -1, 0, 'pq_insert_96_x']
[101, "'0xfa1214'", "'0xfa1214'", 0, 'pq_insert_95']
[102, "'0xfa1214'", -1, 0, 'pq_insert_95_x']
[101, "'0xfa2348'", "'0xfa1214'", 0, 'pq_insert_96']
[101, "'0xfa2344'", "'0xfa1214'", 0, 'pq_insert_95']
[101, "'0xfa2348'", "'0xfa1214'", 0, 'pq_insert_101']
[102, "'0xfa2348'", -1, 0, 'pq_insert_101_x']
[101, "'0xfa2348'", "'0xfa2348'", 0, 'pq_insert_101']
[101, "'0xfa1214'", "'0xfa2348'", 0, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1218'", 0, 'pq_insert_102']
[102, "'0xfa2348'", -1, 0, 'pq_insert_102_x']
[101, "'0xfa1218'", "'0xfa1214'", 0, 'pq_insert_101']
[101, "'0xfa1218'", "'0xfa1214'", 0, 'pq_insert_104']
[102, "'0xfa1218'", -1, 0, 'pq_insert_104_x']
[103, '0', -1, 0, 'pq_insert_104_x']
[101, "'0xfa23d8'", "'0xfa1214'", 0, 'pq_insert_104']
[101, "'0xfa1218'", "'0xfa23d8'", 0, 'pq_insert_105']
[102, "'0xfa1218'", -1, 0, 'pq_insert_105_x']
[101, "'0xfa2344'", "'0xfa1214'", 1, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 1, 'pq_insert_96']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa1214'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000d48'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0xfa2348'", "'0xfa23d8'", 2, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000d44'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000da8'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0xfa2348'", "'0xfa23d8'", 2, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 1, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000da4'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000da8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000d44'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000d48'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000d48'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa1214'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000d48'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efedc001628'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efed4000d48'", "'0xfa23d8'", 1, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000e08'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efedc0015c8'", "'0xfa23d8'", 2, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 1, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000e04'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000e08'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000da4'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1218'", 1, 'pq_insert_102']
[101, "'0x7efed4000da8'", "'0xfa1214'", 1, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000d44'", "'0xfa2348'", 1, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efedc001688'", "'0xfa1214'", 1, 'pq_insert_104']
[101, "'0x7efed4000da8'", "'0xfa23d8'", 1, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e04'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000e08'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000da4'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000da8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001684'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000da8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efedc001688'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc001688'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000d44'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001688'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000d48'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000d48'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc001624'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000d48'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000e68'", "'0xfa1214'", 2, 'pq_insert_104']
[101, "'0x7efed4000d48'", "'0xfa23d8'", 2, 'pq_insert_105']
[101, "'0x7efedc0015c4'", "'0xfa1214'", 2, 'pq_insert_95']
[101, "'0x7efedc0015c8'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e04'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efedc0015c8'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0x7efed4000e08'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0xfa2344'", "'0xfa2348'", 2, 'pq_insert_101']
[101, "'0x7efed4000e08'", "'0xfa1218'", 2, 'pq_insert_102']
[101, "'0xfa2348'", "'0xfa1214'", 2, 'pq_insert_101']
[101, "'0xfa2348'", "'0xfa2348'", 2, 'pq_insert_101']
